				 timestamp             	  time_s             voltage_V                     
2022-06-13 17:26:21.842881                  0.00     -1.6894423000e-08
2022-06-13 17:26:21.842916                 19.28      1.7757817000e-08
2022-06-13 17:26:21.842940                 19.47      2.7302557000e-08
2022-06-13 17:26:21.842963                 19.66      2.6745707000e-08
2022-06-13 17:26:21.842985                 19.84      5.8417597000e-08
2022-06-13 17:26:21.843007                 20.03      5.4451667000e-08
2022-06-13 17:26:21.843029                 20.44      5.1414707000e-08
2022-06-13 17:26:21.843050                 20.49      3.7717397000e-08
2022-06-13 17:26:21.843072                 20.63      4.5898597000e-08
2022-06-13 17:26:21.843094                 20.83      2.6003397000e-08
2022-06-13 17:26:21.843115                 21.03      2.5073717000e-08
2022-06-13 17:26:21.843137                 21.37      3.1395557000e-08
2022-06-13 17:26:21.843158                 21.50      3.1581497000e-08
2022-06-13 17:26:21.843179                 21.63      3.3378877000e-08
2022-06-13 17:26:21.843201                 21.84      3.6663757000e-08
2022-06-13 17:26:21.843222                 22.03      3.8027287000e-08
2022-06-13 17:26:21.843243                 22.29      4.5650677000e-08
2022-06-13 17:26:21.843265                 22.47      4.5030897000e-08
2022-06-13 17:26:21.843286                 22.63      5.3460007000e-08
2022-06-13 17:26:21.843307                 22.83      5.4451667000e-08
2022-06-13 17:26:21.843328                 23.04      4.3977257000e-08
2022-06-13 17:26:21.843349                 23.40      2.4763827000e-08
2022-06-13 17:26:21.843371                 23.54      2.4639867000e-08
2022-06-13 17:26:21.843392                 23.63      2.9970047000e-08
2022-06-13 17:26:21.843413                 23.83      3.3316897000e-08
2022-06-13 17:26:21.843435                 24.04      4.6332447000e-08
2022-06-13 17:26:21.843456                 24.39      4.3109547000e-08
2022-06-13 17:26:21.843478                 24.51      5.6868847000e-08
2022-06-13 17:26:21.843499                 24.63      5.9905807000e-08
2022-06-13 17:26:21.843520                 24.83      6.0959447000e-08
2022-06-13 17:26:21.843541                 25.05      6.5669827000e-08
2022-06-13 17:26:21.843562                 25.53      6.8830937000e-08
2022-06-13 17:26:21.843584                 25.70      7.3231617000e-08
2022-06-13 17:26:21.843605                 25.84      6.5980287000e-08
2022-06-13 17:26:21.843626                 26.03      7.3169887000e-08
2022-06-13 17:26:21.843648                 26.32      6.4616817000e-08
2022-06-13 17:26:21.843669                 26.55      5.0175757000e-08
2022-06-13 17:26:21.843690                 26.63      4.4969537000e-08
2022-06-13 17:26:21.843711                 26.84      3.6230537000e-08
2022-06-13 17:26:21.843733                 27.03      4.5775267000e-08
2022-06-13 17:26:21.843754                 27.51      6.4864727000e-08
2022-06-13 17:26:21.843775                 27.53      7.1000627000e-08
2022-06-13 17:26:21.843796                 27.64      8.4697947000e-08
2022-06-13 17:26:21.843818                 27.83      9.3374967000e-08
2022-06-13 17:26:21.843839                 28.03      9.1639567000e-08
2022-06-13 17:26:21.843860                 28.57      6.7219927000e-08
2022-06-13 17:26:21.843882                 28.59      4.3915897000e-08
2022-06-13 17:26:21.843903                 28.69      4.6642967000e-08
2022-06-13 17:26:21.843924                 28.83      4.2986217000e-08
2022-06-13 17:26:21.843945                 29.04      5.0299717000e-08
2022-06-13 17:26:21.843966                 29.33      5.8728827000e-08
2022-06-13 17:26:21.843987                 29.45      7.4223527000e-08
2022-06-13 17:26:21.844008                 29.64      7.5401127000e-08
2022-06-13 17:26:21.844029                 29.83      8.8664587000e-08
2022-06-13 17:26:21.844050                 30.03      7.9367767000e-08
2022-06-13 17:26:21.844072                 30.38      6.7529817000e-08
2022-06-13 17:26:21.844093                 30.48      5.3336677000e-08
2022-06-13 17:26:21.844114                 30.63      4.9927847000e-08
2022-06-13 17:26:21.844136                 30.84      4.8068477000e-08
2022-06-13 17:26:21.844157                 31.03      3.6850317000e-08
2022-06-13 17:26:21.844178                 31.47      2.4454667000e-08
2022-06-13 17:26:21.844199                 31.55      3.2078087000e-08
2022-06-13 17:26:21.844221                 31.63      2.2843267000e-08
2022-06-13 17:26:21.844242                 31.84      1.9806367000e-08
2022-06-13 17:26:21.844263                 32.03      3.3937527000e-08
2022-06-13 17:26:21.844284                 32.48      3.6168767000e-08
2022-06-13 17:26:21.844305                 32.53      2.9846927000e-08
2022-06-13 17:26:21.844326                 32.63      3.9515617000e-08
2022-06-13 17:26:21.844347                 32.84      4.6767137000e-08
2022-06-13 17:26:21.844368                 33.03      5.2469187000e-08
2022-06-13 17:26:21.844389                 33.53      5.1415547000e-08
2022-06-13 17:26:21.844410                 33.63      6.1951937000e-08
2022-06-13 17:26:21.844432                 33.83      4.4721837000e-08
2022-06-13 17:26:21.844453                 34.03      4.9804097000e-08
2022-06-13 17:26:21.844474                 34.39      4.6891097000e-08
2022-06-13 17:26:21.844495                 34.51      3.2821917000e-08
2022-06-13 17:26:21.844516                 34.64      2.7057887000e-08
2022-06-13 17:26:21.844537                 34.83      3.0032867000e-08
2022-06-13 17:26:21.844559                 35.04      2.9722977000e-08
2022-06-13 17:26:21.844580                 35.46      2.3153227000e-08
2022-06-13 17:26:21.844601                 35.56      5.2531167000e-08
2022-06-13 17:26:21.844622                 35.67      5.6187917000e-08
2022-06-13 17:26:21.844643                 35.83      7.5463317000e-08
2022-06-13 17:26:21.844665                 36.03      7.0628967000e-08
2022-06-13 17:26:21.844686                 36.26      6.8149817000e-08
2022-06-13 17:26:21.844707                 36.51      7.0566987000e-08
2022-06-13 17:26:21.844728                 36.63      8.6681477000e-08
2022-06-13 17:26:21.844749                 36.83      7.9677867000e-08
2022-06-13 17:26:21.844771                 37.03      7.1248757000e-08
2022-06-13 17:26:21.844792                 37.54      5.5258107000e-08
2022-06-13 17:26:21.844813                 37.57      5.1725007000e-08
2022-06-13 17:26:21.844835                 37.68      6.2075347000e-08
2022-06-13 17:26:21.844856                 37.83      6.5360157000e-08
2022-06-13 17:26:21.844877                 38.03      5.6683127000e-08
2022-06-13 17:26:21.844898                 38.34      5.0051397000e-08
2022-06-13 17:26:21.844919                 38.45      4.3295707000e-08
2022-06-13 17:26:21.844940                 38.63      4.7696207000e-08
2022-06-13 17:26:21.844961                 38.83      4.6952457000e-08
2022-06-13 17:26:21.844982                 39.03      5.4080017000e-08
2022-06-13 17:26:21.845003                 39.27      5.2840447000e-08
2022-06-13 17:26:21.845024                 39.46      4.6952457000e-08
