# Ic = 38.63 A, n = 27.75 , Tavg = 0.00 K, Anneal235_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  281387.62        4.48575700e-02        9.58255000e-08    0.00   21.25
    1  281387.87        3.53317200e-01        1.64498000e-07    0.00   21.25
    2  281388.11        6.28078500e-01        1.75282400e-07    0.00   21.25
    3  281388.37        9.81748100e-01        2.02305100e-07    0.00   20.95
    4  281388.63        1.24199900e+00        1.96541100e-07    0.00   20.95
    5  281388.87        1.52144200e+00        1.23839900e-07    0.00   20.95
    6  281389.12        1.83100100e+00        1.83587500e-07    0.00   20.95
    7  281389.54        2.17367400e+00        1.19687300e-07    0.00   20.98
    8  281389.79        2.45210200e+00        1.09956700e-07    0.00   20.98
    9  281390.03        2.73525300e+00        1.06423900e-07    0.00   20.98
   10  281390.31        3.10770500e+00        1.39024700e-07    0.00   21.23
   11  281390.63        3.39254900e+00        1.03015000e-07    0.00   21.23
   12  281390.87        3.64003100e+00        1.47144000e-07    0.00   21.23
   13  281391.12        3.95714200e+00        1.64622000e-07    0.00   21.23
   14  281391.40        4.29419900e+00        1.28426300e-07    0.00   20.82
   15  281391.66        4.58276600e+00        1.48569500e-07    0.00   20.82
   16  281391.90        4.84818600e+00        1.13985300e-07    0.00   20.82
   17  281392.14        5.15932500e+00        8.03930000e-08    0.00   20.82
   18  281392.53        5.46795500e+00        1.45285200e-07    0.00   21.26
   19  281392.78        5.75776700e+00        1.50305700e-07    0.00   21.26
   20  281393.02        6.06733700e+00        1.06362700e-07    0.00   21.26
   21  281393.29        6.41531200e+00        1.13366400e-07    0.00   21.26
   22  281393.57        6.72277800e+00        4.96521000e-08    0.00   20.95
   23  281393.83        6.97308500e+00        5.08297000e-08    0.00   20.95
   24  281394.08        7.28132700e+00        8.94425000e-08    0.00   20.95
   25  281394.46        7.64087700e+00        3.14923000e-08    0.00   20.98
   26  281394.71        7.87771200e+00        3.50251000e-08    0.00   20.98
   27  281394.96        8.17768700e+00        9.08680000e-08    0.00   20.98
   28  281395.21        8.48612700e+00        7.13447000e-08    0.00   20.98
   29  281395.55        8.82768900e+00        7.89061000e-08    0.00   21.24
   30  281395.82        9.07707300e+00        1.22167400e-07    0.00   21.24
   31  281396.07        9.37733500e+00        7.85342000e-08    0.00   21.24
   32  281396.38        9.72411100e+00        5.20693000e-08    0.00   20.81
   33  281396.63        9.97806100e+00        1.18944500e-07    0.00   20.81
   34  281396.88        1.02853500e+01        8.31827000e-08    0.00   20.81
   35  281397.12        1.05744700e+01       -1.98882000e-08    0.00   20.81
   36  281397.37        1.09182700e+01        1.60596000e-08    0.00   21.27
   37  281397.63        1.11602200e+01       -1.61694000e-08    0.00   21.27
   38  281397.87        1.14684100e+01        1.46341000e-08    0.00   21.27
   39  281398.12        1.17676100e+01        4.28947000e-08    0.00   21.27
   40  281398.45        1.20867500e+01        3.35341000e-08    0.00   20.94
   41  281398.70        1.23547400e+01        6.23534000e-08    0.00   20.94
   42  281398.94        1.26530800e+01        4.56811000e-08    0.00   20.94
   43  281399.18        1.29751000e+01        5.05774000e-08    0.00   20.94
   44  281399.43        1.32852800e+01        5.77670000e-08    0.00   20.99
   45  281399.69        1.35687700e+01        4.63629000e-08    0.00   20.99
   46  281399.94        1.38495500e+01        8.89423000e-08    0.00   20.99
   47  281400.18        1.41080700e+01        5.52258000e-08    0.00   20.99
   48  281400.45        1.45035600e+01        5.70852000e-08    0.00   21.23
   49  281400.70        1.47791100e+01        7.97695000e-08    0.00   21.23
   50  281400.94        1.50485300e+01       -2.35250000e-09    0.00   21.23
   51  281401.19        1.53117700e+01        1.62411000e-08    0.00   21.23
   52  281401.46        1.56733200e+01       -1.85290000e-08    0.00   20.82
   53  281401.71        1.59500000e+01       -7.09011000e-08    0.00   20.82
   54  281401.95        1.62305500e+01       -5.49725000e-08    0.00   20.82
   55  281402.19        1.65415900e+01       -7.51157000e-08    0.00   20.82
   56  281402.44        1.68774600e+01       -4.03455000e-08    0.00   21.26
   57  281402.68        1.71569300e+01       -5.38569000e-08    0.00   21.26
   58  281402.94        1.74365000e+01       -7.06290000e-09    0.00   21.26
   59  281403.19        1.77443600e+01       -2.60040000e-09    0.00   21.26
   60  281403.43        1.80953000e+01       -6.89797000e-08    0.00   20.94
   61  281403.70        1.83827000e+01       -4.28867000e-08    0.00   20.94
   62  281403.95        1.86502000e+01       -5.43518000e-08    0.00   20.94
   63  281404.20        1.89587000e+01       -7.62903000e-08    0.00   20.94
   64  281404.44        1.92715400e+01       -4.05886000e-08    0.00   20.99
   65  281404.69        1.95476500e+01       -2.27387000e-08    0.00   20.99
   66  281404.95        1.98545700e+01        2.48670000e-09    0.00   20.99
   67  281405.19        2.01632900e+01       -1.57970000e-08    0.00   20.99
   68  281405.46        2.04795100e+01       -2.34204000e-08    0.00   21.23
   69  281405.71        2.07634200e+01        3.23605000e-08    0.00   21.23
