# Ic = 38.90 A, n = 27.62 , Tavg = 0.00 K, Anneal274_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  416093.99        1.04520100e-01       -2.09546000e-08    0.00   21.03
    1  416094.23        4.07370700e-01       -7.75320000e-09    0.00   21.03
    2  416094.48        6.62825600e-01        3.89166000e-08    0.00   21.03
    3  416094.74        1.00977900e+00       -2.54170000e-08    0.00   20.86
    4  416094.99        1.31243200e+00       -6.26570000e-09    0.00   20.86
    5  416095.24        1.56106800e+00        1.96413000e-08    0.00   20.86
    6  416095.48        1.87347600e+00        1.02206000e-08    0.00   20.86
    7  416095.94        2.20649200e+00       -7.25730000e-09    0.00   20.86
    8  416096.19        2.49587900e+00        3.67474000e-08    0.00   20.96
    9  416096.44        2.77088400e+00        1.95794000e-08    0.00   20.96
   10  416096.68        3.08279200e+00        7.37900000e-10    0.00   20.96
   11  416097.03        3.37893500e+00       -3.71930000e-08    0.00   20.91
   12  416097.29        3.73204300e+00       -3.55195000e-08    0.00   20.91
   13  416097.53        3.98513800e+00       -1.23396000e-08    0.00   20.91
   14  416097.78        4.35329900e+00        9.29090000e-09    0.00   21.23
   15  416098.09        4.63459900e+00       -5.93813000e-08    0.00   21.23
   16  416098.35        4.88229600e+00       -6.36578000e-08    0.00   21.23
   17  416098.60        5.19330900e+00       -3.35362000e-08    0.00   21.23
   18  416098.86        5.56787000e+00       -6.40309000e-08    0.00   20.79
   19  416099.17        5.83989800e+00       -6.07493000e-08    0.00   20.79
   20  416099.42        6.10200900e+00       -4.95951000e-08    0.00   20.79
   21  416099.66        6.41254300e+00       -5.72184000e-08    0.00   20.79
   22  416100.02        6.75666600e+00       -1.36475000e-08    0.00   21.20
   23  416100.26        7.00685300e+00       -4.60623000e-08    0.00   21.20
   24  416100.51        7.32011000e+00       -9.05629000e-08    0.00   21.20
   25  416100.76        7.71858000e+00       -4.01743000e-08    0.00   21.20
   26  416101.10        7.94438300e+00       -8.99910000e-09    0.00   20.96
   27  416101.34        8.21708900e+00       -2.46177000e-08    0.00   20.96
   28  416101.59        8.52285800e+00       -2.44938000e-08    0.00   20.96
   29  416101.85        8.89063600e+00       -4.63722000e-08    0.00   20.90
   30  416102.09        9.13919500e+00       -6.33400000e-09    0.00   20.90
   31  416102.34        9.41414100e+00       -1.75522000e-08    0.00   20.90
   32  416102.58        9.71932300e+00       -2.85224000e-08    0.00   20.90
   33  416102.85        1.00596700e+01       -9.86680000e-09    0.00   21.24
   34  416103.18        1.03590000e+01        3.21070000e-09    0.00   21.24
   35  416103.43        1.06130300e+01       -1.86678000e-08    0.00   21.24
   36  416103.67        1.09194500e+01        3.51296000e-08    0.00   21.24
   37  416104.03        1.12247900e+01        1.84710000e-09    0.00   20.78
   38  416104.30        1.15013600e+01       -1.06305400e-07    0.00   20.78
   39  416104.55        1.18036700e+01       -1.10272100e-07    0.00   20.78
   40  416104.89        1.21354200e+01       -7.66792000e-08    0.00   21.20
   41  416105.14        1.24155000e+01       -5.67211000e-08    0.00   21.20
   42  416105.38        1.26929400e+01       -3.04750000e-09    0.00   21.20
   43  416105.63        1.30000200e+01       -2.54218000e-08    0.00   21.20
   44  416105.90        1.33409600e+01       -2.41202000e-08    0.00   20.95
   45  416106.21        1.36271800e+01       -1.61250000e-08    0.00   20.95
   46  416106.47        1.38900400e+01       -2.81488000e-08    0.00   20.95
   47  416106.71        1.41643400e+01       -8.21941000e-08    0.00   20.95
   48  416106.96        1.45077400e+01       -6.45302000e-08    0.00   20.90
   49  416107.22        1.47867600e+01       -7.61822000e-08    0.00   20.90
   50  416107.46        1.50882100e+01       -9.55530000e-09    0.00   20.90
   51  416107.71        1.53667100e+01       -2.56077000e-08    0.00   20.90
   52  416108.04        1.57056600e+01        5.07170000e-09    0.00   21.22
   53  416108.30        1.59854500e+01        2.22070000e-09    0.00   21.22
   54  416108.55        1.62647900e+01       -3.26113000e-08    0.00   21.22
   55  416108.84        1.66356100e+01       -6.61417000e-08    0.00   20.78
   56  416109.17        1.69371200e+01       -6.39104000e-08    0.00   20.78
   57  416109.42        1.71944200e+01       -6.52120000e-08    0.00   20.78
   58  416109.67        1.74824800e+01       -5.35600000e-08    0.00   20.78
   59  416109.97        1.78227300e+01       -3.34790000e-08    0.00   21.20
   60  416110.24        1.80970500e+01       -3.98628000e-08    0.00   21.20
   61  416110.49        1.83798700e+01       -7.32072000e-08    0.00   21.20
   62  416110.77        1.87417300e+01       -7.93465000e-08    0.00   21.20
   63  416111.05        1.90230600e+01       -7.91634000e-08    0.00   20.95
   64  416111.30        1.92760300e+01       -8.17052000e-08    0.00   20.95
   65  416111.54        1.95837400e+01       -5.23274000e-08    0.00   20.95
   66  416111.87        1.99504900e+01       -4.73071000e-08    0.00   20.89
   67  416112.13        2.02332500e+01       -7.84203000e-08    0.00   20.89
   68  416112.39        2.04764800e+01       -1.02282100e-07    0.00   20.89
   69  416112.64        2.07865700e+01       -1.45481200e-07    0.00   20.89
   70  416112.98        2.11259100e+01       -9.28613000e-08    0.00   21.22
   71  416113.24        2.14363300e+01       -3.32999000e-08    0.00   21.22
   72  416113.50        2.16907100e+01       -8.75312000e-08    0.00   21.22
   73  416113.77        2.20573400e+01       -7.27183000e-08    0.00   21.22
   74  416114.04        2.23429600e+01       -8.22010000e-08    0.00   20.77
   75  416114.30        2.25863900e+01       -1.04637300e-07    0.00   20.77
   76  416114.54        2.28975600e+01       -9.18697000e-08    0.00   20.77
   77  416114.79        2.32652000e+01       -7.43298000e-08    0.00   21.20
   78  416115.04        2.35161300e+01       -6.54668000e-08    0.00   21.20
   79  416115.30        2.38484000e+01       -2.43750000e-08    0.00   21.20
   80  416115.56        2.41068700e+01       -1.22425100e-07    0.00   21.20
   81  416115.82        2.44421600e+01       -8.72833000e-08    0.00   20.94
   82  416116.07        2.47247600e+01       -4.45800000e-08    0.00   20.94
   83  416116.32        2.49967100e+01       -6.37314000e-08    0.00   20.94
   84  416116.57        2.53041400e+01       -8.86465000e-08    0.00   20.94
   85  416116.83        2.56409200e+01       -1.14057300e-07    0.00   20.90
   86  416117.14        2.59235300e+01       -7.19736000e-08    0.00   20.90
   87  416117.39        2.61931200e+01       -4.39593000e-08    0.00   20.90
   88  416117.63        2.64979800e+01       -1.11392000e-07    0.00   20.90
   89  416117.99        2.68294200e+01       -4.71822000e-08    0.00   21.21
   90  416118.25        2.71039900e+01        1.46105000e-08    0.00   21.21
   91  416118.49        2.73902400e+01       -4.53228000e-08    0.00   21.21
   92  416118.74        2.77157200e+01       -7.40189000e-08    0.00   21.21
   93  416119.02        2.80204300e+01       -1.01847300e-07    0.00   20.77
   94  416119.27        2.82878700e+01       -1.01165500e-07    0.00   20.77
   95  416119.52        2.86008700e+01       -8.05266000e-08    0.00   20.77
   96  416119.81        2.89371600e+01       -7.35231000e-08    0.00   20.77
   97  416120.11        2.92170900e+01       -8.05266000e-08    0.00   21.20
   98  416120.36        2.94988000e+01       -5.15827000e-08    0.00   21.20
   99  416120.61        2.97778500e+01       -7.50106000e-08    0.00   21.20
  100  416121.01        3.01435800e+01       -6.25529000e-08    0.00   20.94
  101  416121.29        3.04588000e+01       -1.48913000e-08    0.00   20.94
  102  416121.55        3.07089000e+01       -7.19736000e-08    0.00   20.94
  103  416121.84        3.10483200e+01       -1.02095200e-07    0.00   20.90
  104  416122.13        3.13365500e+01       -6.13133000e-08    0.00   20.90
  105  416122.38        3.16116900e+01       -5.53000000e-08    0.00   20.90
  106  416122.62        3.19134800e+01       -1.10024200e-07    0.00   20.90
  107  416122.95        3.22574300e+01       -1.00042800e-07    0.00   21.21
  108  416123.21        3.25174500e+01       -7.54374000e-08    0.00   21.21
  109  416123.45        3.28276700e+01       -7.41358000e-08    0.00   21.21
