# Ic = 38.98 A, n = 28.35 , Tavg = 0.00 K, Anneal247_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  321899.19        6.65149100e-02       -6.49849800e-08    0.00   20.78
    1  321899.55        4.13728300e-01       -2.33970800e-08    0.00   20.85
    2  321899.82        6.59611900e-01       -2.40788800e-08    0.00   20.85
    3  321900.07        9.44606600e-01       -7.08110800e-08    0.00   20.85
    4  321900.38        1.33023400e+00       -2.94090800e-08    0.00   21.24
    5  321900.64        1.57984800e+00        2.98429200e-08    0.00   21.24
    6  321900.89        1.86572300e+00       -4.54615800e-08    0.00   21.24
    7  321901.14        2.18904100e+00       -4.46558800e-08    0.00   21.24
    8  321901.49        2.51386800e+00        3.87372000e-09    0.00   20.78
    9  321901.75        2.78817900e+00       -8.81621800e-08    0.00   20.78
   10  321901.99        3.07468500e+00       -6.54127800e-08    0.00   20.78
   11  321902.26        3.43551900e+00        9.14802000e-09    0.00   20.78
   12  321902.58        3.70309000e+00       -2.64279800e-08    0.00   21.17
   13  321902.84        3.98034200e+00       -4.03112800e-08    0.00   21.17
   14  321903.09        4.27363000e+00       -6.26237800e-08    0.00   21.17
   15  321903.45        4.64256300e+00       -9.41710800e-08    0.00   21.02
   16  321903.70        4.88159500e+00       -7.65689800e-08    0.00   21.02
   17  321903.94        5.18970100e+00       -4.13648800e-08    0.00   21.02
   18  321904.18        5.50228200e+00       -1.23363180e-07    0.00   21.02
   19  321904.45        5.81561100e+00       -5.22112800e-08    0.00   20.86
   20  321904.69        6.11411900e+00       -1.15615880e-07    0.00   20.86
   21  321904.94        6.40718600e+00       -9.94392800e-08    0.00   20.86
   22  321905.20        6.72077900e+00       -4.94221800e-08    0.00   20.86
   23  321905.45        6.99340600e+00       -5.97726800e-08    0.00   21.25
   24  321905.73        7.35935800e+00       -2.16555800e-08    0.00   21.25
   25  321905.97        7.63043100e+00       -7.17966800e-08    0.00   21.25
   26  321906.22        7.90917300e+00       -1.26710080e-07    0.00   21.25
   27  321906.55        8.24651200e+00       -5.94627800e-08    0.00   20.79
   28  321906.79        8.52462100e+00       -4.66331800e-08    0.00   20.79
   29  321907.04        8.82235400e+00       -1.20636180e-07    0.00   20.79
   30  321907.37        9.16135800e+00       -5.43185800e-08    0.00   21.17
   31  321907.63        9.45935900e+00       -4.15613800e-08    0.00   21.17
   32  321907.88        9.71475700e+00       -1.01875480e-07    0.00   21.17
   33  321908.13        9.99553800e+00       -5.01870800e-08    0.00   21.17
   34  321908.49        1.02917300e+01       -4.09521800e-08    0.00   21.02
   35  321908.79        1.06277000e+01       -6.63015800e-08    0.00   21.02
   36  321909.03        1.09153700e+01       -7.52885800e-08    0.00   21.02
   37  321909.29        1.12495200e+01       -6.60536800e-08    0.00   21.02
   38  321909.56        1.15457400e+01       -7.42348800e-08    0.00   20.86
   39  321909.81        1.18013200e+01       -4.98151800e-08    0.00   20.86
   40  321910.06        1.20539300e+01       -8.09905800e-08    0.00   20.86
   41  321910.32        1.24210200e+01       -7.79536800e-08    0.00   21.24
   42  321910.60        1.27210200e+01       -6.02895800e-08    0.00   21.24
   43  321910.89        1.30002900e+01       -1.05906180e-07    0.00   21.24
   44  321911.13        1.32693700e+01       -9.66712800e-08    0.00   21.24
   45  321911.38        1.36162000e+01       -7.34291800e-08    0.00   20.78
   46  321911.63        1.39243100e+01       -1.28900380e-07    0.00   20.78
   47  321911.89        1.41628700e+01       -6.41942800e-08    0.00   20.78
   48  321912.13        1.44889500e+01       -1.08447280e-07    0.00   20.78
   49  321912.49        1.48088000e+01       -7.19416800e-08    0.00   21.17
   50  321912.73        1.50948500e+01       -3.19031800e-08    0.00   21.17
   51  321912.99        1.53625400e+01       -1.13343680e-07    0.00   21.17
   52  321913.23        1.57130200e+01       -1.35718080e-07    0.00   21.17
   53  321913.49        1.60152400e+01       -8.68808800e-08    0.00   21.02
   54  321913.76        1.62754900e+01       -1.11241380e-07    0.00   21.02
