# Ic = 38.75 A, n = 27.06 , Tavg = 0.00 K, Anneal259_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  362929.99        1.01753500e-01       -6.66852100e-09    0.00   21.23
    1  362930.23        3.81630900e-01       -7.58985210e-08    0.00   21.23
    2  362930.48        6.58336000e-01       -6.70355910e-08    0.00   21.23
    3  362930.76        1.02389200e+00       -2.53240610e-08    0.00   20.80
    4  362931.04        1.27670200e+00       -7.00725410e-08    0.00   20.80
    5  362931.28        1.55184900e+00       -5.53216510e-08    0.00   20.80
    6  362931.52        1.86710400e+00       -1.12155941e-07    0.00   20.80
    7  362931.77        2.22929100e+00       -5.17888810e-08    0.00   21.25
    8  362932.02        2.51421700e+00       -4.65826810e-08    0.00   21.25
    9  362932.26        2.76918800e+00       -2.94146410e-08    0.00   21.25
   10  362932.51        3.07695500e+00        2.31835900e-09    0.00   21.25
   11  362932.85        3.44377200e+00        5.97508900e-09    0.00   20.81
   12  362933.14        3.67335300e+00       -2.97865110e-08    0.00   20.81
   13  362933.39        3.97895300e+00       -4.81941210e-08    0.00   20.81
   14  362933.63        4.28857900e+00       -7.89354610e-08    0.00   20.81
   15  362933.95        4.63424600e+00       -7.57745610e-08    0.00   21.25
   16  362934.20        4.92457400e+00       -5.35862510e-08    0.00   21.25
   17  362934.45        5.19063000e+00       -6.16434610e-08    0.00   21.25
   18  362934.69        5.50124100e+00       -4.86899510e-08    0.00   21.25
   19  362935.00        5.81440300e+00       -2.43943810e-08    0.00   20.82
   20  362935.26        6.10032400e+00       -8.43281510e-08    0.00   20.82
   21  362935.50        6.40728300e+00       -6.87737710e-08    0.00   20.82
   22  362935.80        6.77394200e+00        1.87376690e-08    0.00   20.82
   23  362936.13        7.02952000e+00       -2.26645710e-08    0.00   21.07
   24  362936.38        7.31180000e+00       -2.65072410e-08    0.00   21.07
   25  362936.63        7.62254300e+00       -1.36157010e-08    0.00   21.07
   26  362937.06        7.93736600e+00       -3.43785210e-08    0.00   21.12
   27  362937.33        8.22651900e+00       -6.45001010e-08    0.00   21.12
   28  362937.59        8.51480600e+00       -1.70865010e-08    0.00   21.12
   29  362937.94        8.86667800e+00        1.32829990e-08    0.00   20.80
   30  362938.22        9.10606600e+00       -2.18588510e-08    0.00   20.80
   31  362938.46        9.40478900e+00       -2.35942510e-08    0.00   20.80
