# Ic = 38.03 A, n = 27.99 , Tavg = 0.00 K, Anneal166_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  69996.27        7.69978300e-02        5.47708900e-08    0.00   20.87
    1  69996.51        3.77270500e-01        7.94384900e-08    0.00   20.87
    2  69996.78        6.91175300e-01        4.11974900e-08    0.00   20.87
    3  69997.05        9.53662800e-01        6.40056900e-08    0.00   21.06
    4  69997.30        1.27320900e+00        4.72713900e-08    0.00   21.06
    5  69997.54        1.55189500e+00        3.43177900e-08    0.00   21.06
    6  69997.82        1.85513500e+00        4.96265900e-08    0.00   21.06
    7  69998.09        2.20608100e+00        4.88208900e-08    0.00   21.18
    8  69998.35        2.48288700e+00        1.98146900e-08    0.00   21.18
    9  69998.59        2.76553100e+00        5.69400900e-08    0.00   21.18
   10  69998.96        3.11009500e+00        5.84895900e-08    0.00   21.18
   11  69999.24        3.43066700e+00        1.70256900e-08    0.00   20.82
   12  69999.48        3.66933300e+00        1.13235900e-08    0.00   20.82
   13  69999.74        4.00215700e+00        3.68588900e-08    0.00   20.82
   14  70000.02        4.31793100e+00        1.20672900e-08    0.00   20.99
   15  70000.29        4.60183500e+00        8.41059000e-09    0.00   20.99
   16  70000.54        4.87732100e+00        5.29753900e-08    0.00   20.99
   17  70000.81        5.23020800e+00        4.34330900e-08    0.00   20.86
   18  70001.16        5.52786400e+00        2.21761900e-08    0.00   20.86
   19  70001.41        5.78365100e+00        2.34289000e-09    0.00   20.86
   20  70001.66        6.07585500e+00       -1.24701100e-08    0.00   20.86
   21  70001.90        6.43691500e+00        1.23214900e-08    0.00   20.80
   22  70002.16        6.72074300e+00       -1.37581000e-09    0.00   20.80
   23  70002.41        6.99774000e+00       -2.60210000e-10    0.00   20.80
   24  70002.65        7.29163800e+00        1.47519000e-09    0.00   20.80
   25  70002.90        7.65285300e+00        7.54909000e-09    0.00   21.25
   26  70003.14        7.91012200e+00        2.61428900e-08    0.00   21.25
   27  70003.39        8.21182100e+00        1.67839900e-08    0.00   21.25
   28  70003.64        8.49897200e+00        2.24240900e-08    0.00   21.25
   29  70003.90        8.86023000e+00        2.40355900e-08    0.00   20.92
   30  70004.17        9.10780300e+00        7.98299000e-09    0.00   20.92
   31  70004.41        9.40609600e+00        9.28459000e-09    0.00   20.92
   32  70004.65        9.69194900e+00       -2.17050100e-08    0.00   20.92
   33  70004.99        1.00307500e+01       -1.71185100e-08    0.00   21.26
   34  70005.23        1.03336400e+01        1.31272900e-08    0.00   21.26
   35  70005.48        1.05953000e+01       -1.62381000e-09    0.00   21.26
   36  70005.74        1.09279800e+01       -2.69732100e-08    0.00   21.26
   37  70006.02        1.12255100e+01       -4.97061000e-09    0.00   21.21
   38  70006.30        1.14945800e+01       -2.04654100e-08    0.00   21.21
   39  70006.55        1.17968200e+01       -4.09168100e-08    0.00   21.21
   40  70006.96        1.21093100e+01       -3.09980100e-08    0.00   21.05
   41  70007.23        1.24067600e+01       -1.32716100e-08    0.00   21.05
   42  70007.48        1.26876400e+01       -2.87043100e-08    0.00   21.05
   43  70007.74        1.30173000e+01       -2.12669100e-08    0.00   21.05
   44  70008.03        1.33043900e+01       -7.71100100e-08    0.00   21.17
   45  70008.28        1.35797700e+01       -5.33720100e-08    0.00   21.17
   46  70008.53        1.38829200e+01       -3.29189100e-08    0.00   21.17
   47  70008.84        1.42045000e+01       -3.39726100e-08    0.00   20.81
   48  70009.11        1.44967100e+01       -1.37054100e-08    0.00   20.81
   49  70009.37        1.47723600e+01       -4.52527100e-08    0.00   20.81
   50  70009.62        1.50580000e+01       -7.19037100e-08    0.00   20.81
   51  70009.93        1.53921200e+01       -5.58512100e-08    0.00   20.98
   52  70010.18        1.56703700e+01       -4.21538100e-08    0.00   20.98
   53  70010.43        1.59741100e+01       -7.35772100e-08    0.00   20.98
   54  70010.67        1.62605200e+01       -6.57058100e-08    0.00   20.98
   55  70010.97        1.66033200e+01       -7.61183100e-08    0.00   21.21
   56  70011.23        1.68706100e+01       -5.69048100e-08    0.00   21.21
   57  70011.49        1.71862800e+01       -6.19871100e-08    0.00   21.21
   58  70011.74        1.75025400e+01       -9.09313100e-08    0.00   21.21
   59  70012.11        1.78039000e+01       -9.55797100e-08    0.00   20.79
   60  70012.37        1.80890300e+01       -7.82219100e-08    0.00   20.79
   61  70012.61        1.83746600e+01       -9.36498100e-08    0.00   20.79
   62  70012.87        1.86691800e+01       -9.46378100e-08    0.00   21.24
