# Ic = 38.03 A, n = 28.70 , Tavg = 0.00 K, Anneal136_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  104425.16        5.95360700e-02        2.67749900e-08    0.00   20.82
    1  104425.41        3.63556100e-01        4.58645900e-08    0.00   20.82
    2  104425.66        6.45879500e-01        2.26843900e-08    0.00   20.82
    3  104425.94        9.88510600e-01        6.73712900e-08    0.00   21.26
    4  104426.18        1.26136300e+00        1.06356190e-07    0.00   21.26
    5  104426.42        1.53578500e+00        9.48279900e-08    0.00   21.26
    6  104426.67        1.84706400e+00        7.76597900e-08    0.00   21.26
    7  104426.96        2.18740100e+00        4.09675900e-08    0.00   20.94
    8  104427.20        2.47188400e+00        6.19770900e-08    0.00   20.94
    9  104427.45        2.74846400e+00        7.31324900e-08    0.00   20.94
   10  104427.69        3.04127300e+00        6.14184900e-08    0.00   20.94
   11  104428.00        3.40671900e+00        7.20788900e-08    0.00   21.27
   12  104428.26        3.65999600e+00        5.05101900e-08    0.00   21.27
   13  104428.51        3.96438400e+00        3.60689900e-08    0.00   21.27
   14  104428.81        4.30882100e+00        3.35278900e-08    0.00   21.23
   15  104429.07        4.63310700e+00        2.06361900e-08    0.00   21.23
   16  104429.31        4.86375600e+00       -1.60554100e-08    0.00   21.23
   17  104429.56        5.17377100e+00       -1.24241000e-09    0.00   21.23
   18  104429.97        5.52464800e+00        1.48721900e-08    0.00   20.82
   19  104430.22        5.77270700e+00       -5.39501000e-09    0.00   20.82
   20  104430.47        6.08758700e+00        3.12346900e-08    0.00   20.82
   21  104430.75        6.42645200e+00        2.60029000e-09    0.00   20.82
   22  104431.04        6.74194700e+00        4.52169000e-09    0.00   21.26
   23  104431.29        6.98816500e+00       -1.90304100e-08    0.00   21.26
   24  104431.53        7.29999500e+00       -6.24777100e-08    0.00   21.26
   25  104431.86        7.65501200e+00       -5.82012100e-08    0.00   20.95
   26  104432.12        7.93755300e+00       -3.95454100e-08    0.00   20.95
   27  104432.37        8.20000100e+00       -2.25632100e-08    0.00   20.95
   28  104432.61        8.48307400e+00        2.72429000e-09    0.00   20.95
   29  104432.94        8.84508700e+00       -1.08510100e-08    0.00   21.28
   30  104433.19        9.09413000e+00       -3.94877100e-08    0.00   21.28
   31  104433.44        9.39469700e+00       -3.95501100e-08    0.00   21.28
   32  104433.68        9.70048400e+00       -3.70710100e-08    0.00   21.28
   33  104433.97        1.00140800e+01       -5.07064100e-08    0.00   21.24
   34  104434.21        1.02940500e+01       -5.69663100e-08    0.00   21.24
   35  104434.46        1.05929300e+01       -1.07107310e-07    0.00   21.24
   36  104434.75        1.09319700e+01       -7.43204100e-08    0.00   21.24
   37  104435.10        1.11634900e+01       -6.34741100e-08    0.00   20.82
   38  104435.34        1.14763200e+01       -9.11787100e-08    0.00   20.82
   39  104435.59        1.17799000e+01       -8.68402100e-08    0.00   20.82
   40  104435.96        1.20921200e+01       -4.27111100e-08    0.00   21.25
   41  104436.22        1.23670500e+01       -5.91975100e-08    0.00   21.25
   42  104436.47        1.26736500e+01       -7.94027100e-08    0.00   21.25
   43  104436.76        1.29670900e+01       -4.10996100e-08    0.00   21.25
   44  104437.03        1.32872700e+01       -7.22131100e-08    0.00   20.95
   45  104437.29        1.35659400e+01       -1.28490110e-07    0.00   20.95
   46  104437.53        1.38560100e+01       -9.13647100e-08    0.00   20.95
   47  104437.91        1.41909800e+01       -1.34316210e-07    0.00   20.96
   48  104438.18        1.44578900e+01       -1.04008410e-07    0.00   20.96
   49  104438.43        1.47340100e+01       -5.06444100e-08    0.00   20.96
   50  104438.69        1.50696300e+01       -6.76845100e-08    0.00   20.96
   51  104438.97        1.53833300e+01       -9.50710100e-08    0.00   21.23
   52  104439.22        1.56614300e+01       -8.40304100e-08    0.00   21.23
   53  104439.46        1.59696000e+01       -1.07892410e-07    0.00   21.23
   54  104439.76        1.62854400e+01       -8.70674100e-08    0.00   21.23
   55  104440.13        1.65533900e+01       -1.10309610e-07    0.00   20.81
   56  104440.39        1.68647900e+01       -1.32870010e-07    0.00   20.81
   57  104440.63        1.71774400e+01       -1.52393410e-07    0.00   20.81
   58  104440.95        1.74501600e+01       -1.36898610e-07    0.00   21.19
   59  104441.20        1.77833200e+01       -7.35560100e-08    0.00   21.19
   60  104441.44        1.80807400e+01       -1.16011710e-07    0.00   21.19
   61  104441.70        1.83418100e+01       -1.23883010e-07    0.00   21.19
   62  104441.98        1.87026000e+01       -1.24998610e-07    0.00   20.95
   63  104442.24        1.89812400e+01       -1.35411110e-07    0.00   20.95
   64  104442.48        1.92582900e+01       -1.30824710e-07    0.00   20.95
   65  104442.74        1.95942800e+01       -1.37270510e-07    0.00   20.95
   66  104443.07        1.99045600e+01       -1.30638710e-07    0.00   20.94
