# Ic = 38.22 A, n = 29.23 , Tavg = 0.00 K, Anneal160_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  48022.05        8.07773200e-02        4.27593400e-08    0.00   20.87
    1  48022.31        3.58638600e-01        6.21588400e-08    0.00   20.87
    2  48022.56        6.35867100e-01        4.53005400e-08    0.00   20.87
    3  48022.99        9.35561000e-01        3.48880400e-08    0.00   21.25
    4  48023.25        1.25665800e+00        2.90000400e-08    0.00   21.25
    5  48023.50        1.53062800e+00        8.17504000e-09    0.00   21.25
    6  48023.76        1.83148600e+00       -2.85726000e-09    0.00   21.25
    7  48024.07        2.18509100e+00        1.22036400e-08    0.00   20.79
    8  48024.32        2.46322700e+00        3.50119400e-08    0.00   20.79
    9  48024.56        2.74393500e+00        1.80297400e-08    0.00   20.79
   10  48024.85        3.09755200e+00        1.44969400e-08    0.00   21.19
   11  48025.11        3.38436000e+00       -1.10390600e-08    0.00   21.19
   12  48025.36        3.65749900e+00       -1.80496000e-09    0.00   21.19
   13  48025.60        3.95793700e+00       -5.65460000e-10    0.00   21.19
   14  48025.95        4.30693700e+00        1.60374000e-09    0.00   21.03
   15  48026.19        4.58791200e+00        4.51684000e-09    0.00   21.03
   16  48026.43        4.85599100e+00       -6.81226600e-08    0.00   21.03
   17  48026.68        5.16492200e+00       -8.79559600e-08    0.00   21.03
   18  48027.07        5.51309800e+00       -5.83299600e-08    0.00   20.88
   19  48027.32        5.76936000e+00       -1.14118600e-08    0.00   20.88
   20  48027.56        6.07318700e+00       -4.74836600e-08    0.00   20.88
   21  48027.87        6.42896300e+00       -5.71523600e-08    0.00   21.25
   22  48028.15        6.73373300e+00       -5.12643600e-08    0.00   21.25
   23  48028.40        6.98126300e+00       -9.53314600e-08    0.00   21.25
   24  48028.64        7.27201800e+00       -6.92382600e-08    0.00   21.25
   25  48029.02        7.64135900e+00       -1.19696600e-08    0.00   20.79
   26  48029.30        7.88722000e+00       -2.91998600e-08    0.00   20.79
   27  48029.55        8.18814500e+00       -2.46133600e-08    0.00   20.79
   28  48030.06        8.52924900e+00       -6.60773600e-08    0.00   21.19
   29  48030.32        8.80379100e+00       -6.94862600e-08    0.00   21.19
   30  48030.58        9.08903200e+00       -9.81205600e-08    0.00   21.19
   31  48030.92        9.38083500e+00       -1.13925460e-07    0.00   21.03
   32  48031.17        9.69677100e+00       -6.57072600e-08    0.00   21.03
   33  48031.42        9.97245300e+00       -4.51929600e-08    0.00   21.03
   34  48031.66        1.02790600e+01       -8.15126600e-08    0.00   21.03
   35  48031.98        1.06170200e+01       -7.33933600e-08    0.00   20.88
   36  48032.23        1.09117900e+01       -7.58105600e-08    0.00   20.88
   37  48032.47        1.11699000e+01       -1.24154260e-07    0.00   20.88
   38  48032.71        1.14716100e+01       -1.18018360e-07    0.00   20.88
   39  48033.02        1.18088000e+01       -1.46094860e-07    0.00   21.26
   40  48033.28        1.20525500e+01       -1.31591760e-07    0.00   21.26
   41  48033.52        1.23576700e+01       -1.21799060e-07    0.00   21.26
   42  48033.81        1.27072700e+01       -1.35558460e-07    0.00   20.80
   43  48034.13        1.30072400e+01       -1.05002760e-07    0.00   20.80
   44  48034.39        1.32459500e+01       -1.29546460e-07    0.00   20.80
   45  48034.63        1.35552800e+01       -1.65246360e-07    0.00   20.80
   46  48034.93        1.39025600e+01       -1.50557360e-07    0.00   21.19
   47  48035.20        1.41466200e+01       -1.33389160e-07    0.00   21.19
   48  48035.44        1.44454900e+01       -1.60721960e-07    0.00   21.19
   49  48035.68        1.47304500e+01       -1.39896960e-07    0.00   21.19
   50  48036.02        1.50926600e+01       -1.72064060e-07    0.00   21.03
   51  48036.31        1.53418700e+01       -1.88736460e-07    0.00   21.03
   52  48036.55        1.56288200e+01       -1.85389560e-07    0.00   21.03
   53  48036.89        1.59968100e+01       -1.42127060e-07    0.00   20.88
   54  48037.17        1.62421600e+01       -1.52102260e-07    0.00   20.88
   55  48037.42        1.65474700e+01       -1.40325160e-07    0.00   20.88
   56  48037.66        1.68326600e+01       -2.04535460e-07    0.00   20.88
   57  48037.99        1.72012000e+01       -2.34595360e-07    0.00   20.95
   58  48038.24        1.74780900e+01       -1.84950060e-07    0.00   20.95
   59  48038.49        1.77568100e+01       -1.63753260e-07    0.00   20.95
   60  48038.73        1.80587100e+01       -1.89164660e-07    0.00   20.95
   61  48039.00        1.83824300e+01       -1.59042860e-07    0.00   20.79
   62  48039.25        1.86677500e+01       -2.14390160e-07    0.00   20.79
   63  48039.51        1.89656600e+01       -2.08935960e-07    0.00   20.79
   64  48039.79        1.92452700e+01       -2.08935960e-07    0.00   20.79
   65  48040.07        1.95906500e+01       -2.26228160e-07    0.00   21.20
   66  48040.33        1.98675100e+01       -2.01870360e-07    0.00   21.20
   67  48040.57        2.01467200e+01       -2.12468760e-07    0.00   21.20
   68  48040.82        2.04896500e+01       -2.43458360e-07    0.00   21.02
   69  48041.07        2.07942300e+01       -2.05589060e-07    0.00   21.02
   70  48041.32        2.10697600e+01       -2.39615660e-07    0.00   21.02
   71  48041.57        2.13444600e+01       -2.26042160e-07    0.00   21.02
   72  48041.91        2.17008000e+01       -2.21021860e-07    0.00   20.88
   73  48042.16        2.19462800e+01       -2.42280760e-07    0.00   20.88
   74  48042.41        2.22751300e+01       -2.34843260e-07    0.00   20.88
   75  48042.67        2.25554400e+01       -2.47425560e-07    0.00   20.88
   76  48042.91        2.28926600e+01       -2.50153960e-07    0.00   21.25
   77  48043.17        2.32033400e+01       -2.69616560e-07    0.00   21.25
   78  48043.41        2.34538700e+01       -2.88396260e-07    0.00   21.25
   79  48043.66        2.37639400e+01       -2.57344760e-07    0.00   21.25
   80  48043.98        2.41086000e+01       -2.55299460e-07    0.00   20.79
   81  48044.23        2.44069600e+01       -2.94098360e-07    0.00   20.79
   82  48044.48        2.46587200e+01       -2.78541560e-07    0.00   20.79
   83  48044.73        2.49435700e+01       -2.44886960e-07    0.00   20.79
   84  48045.05        2.53040300e+01       -2.53997860e-07    0.00   21.19
   85  48045.34        2.55545800e+01       -2.77178060e-07    0.00   21.19
   86  48045.59        2.58316000e+01       -3.00544160e-07    0.00   21.19
   87  48045.84        2.61926200e+01       -2.97445160e-07    0.00   21.01
