#time_s           sample_K         target_A         PID_perc         AUX1_perc        AUX2_perc       AUX3_perc      
           0.00             0.00           318.43             0.00             0.00             0.00            0.00
         637.28             0.00           315.09             0.00             0.00             0.00            0.00
         638.21             0.00           315.08             0.00             0.00             0.00            0.00
         639.26             0.00           315.08             0.00             0.00             0.00            0.00
         640.20             0.00           315.08             0.00             0.00             0.00            0.00
         641.28             0.00           315.08             0.00             0.00             0.00            0.00
         642.24             0.00           315.06             0.00             0.00             0.00            0.00
         643.33             0.00           315.07             0.00             0.00             0.00            0.00
         643.99             0.00           315.06             0.00             0.00             0.00            0.00
         645.08             0.00           315.05             0.00             0.00             0.00            0.00
         646.23             0.00           315.03             0.00             0.00             0.00            0.00
         647.21             0.00           315.00             0.00             0.00             0.00            0.00
         648.28             0.00           314.96             0.00             0.00             0.00            0.00
         649.04             0.00           314.94             0.00             0.00             0.00            0.00
         650.11             0.00           314.90             0.00             0.00             0.00            0.00
         651.12             0.00           314.88             0.00             0.00             0.00            0.00
         652.08             0.00           314.84             0.00             0.00             0.00            0.00
         653.03             0.00           314.79             0.00             0.00             0.00            0.00
         654.16             0.00           314.74             0.00             0.00             0.00            0.00
         654.99             0.00           314.67             0.00             0.00             0.00            0.00
         656.04             0.00           314.61             0.00             0.00             0.00            0.00
         657.23             0.00           314.50             0.00             0.00             0.00            0.00
         658.11             0.00           314.41             0.00             0.00             0.00            0.00
         659.11             0.00           314.32             0.00             0.00             0.00            0.00
         660.21             0.00           314.18             0.00             0.00             0.00            0.00
         660.97             0.00           314.11             0.00             0.00             0.00            0.00
         662.13             0.00           313.96             0.00             0.00             0.00            0.00
         663.19             0.00           313.82             0.00             0.00             0.00            0.00
         664.14             0.00           313.72             0.00             0.00             0.00            0.00
         664.93             0.00           313.58             0.00             0.00             0.00            0.00
         666.20             0.00           313.43             0.00             0.00             0.00            0.00
         666.95             0.00           313.31             0.00             0.00             0.00            0.00
         667.95             0.00           313.18             0.00             0.00             0.00            0.00
         669.16             0.00           313.02             0.00             0.00             0.00            0.00
         670.08             0.00           312.86             0.00             0.00             0.00            0.00
         671.12             0.00           312.72             0.00             0.00             0.00            0.00
         672.20             0.00           312.58             0.00             0.00             0.00            0.00
         673.04             0.00           312.42             0.00             0.00             0.00            0.00
         674.21             0.00           312.26             0.00             0.00             0.00            0.00
         675.09             0.00           312.10             0.00             0.00             0.00            0.00
         676.11             0.00           311.96             0.00             0.00             0.00            0.00
         676.95             0.00           311.82             0.00             0.00             0.00            0.00
         678.12             0.00           311.62             0.00             0.00             0.00            0.00
         678.96             0.00           311.48             0.00             0.00             0.00            0.00
         680.09             0.00           311.30             0.00             0.00             0.00            0.00
         681.03             0.00           311.18             0.00             0.00             0.00            0.00
         682.16             0.00           311.01             0.00             0.00             0.00            0.00
         682.92             0.00           310.85             0.00             0.00             0.00            0.00
         684.21             0.00           310.64             0.00             0.00             0.00            0.00
         685.06             0.00           310.51             0.00             0.00             0.00            0.00
         686.07             0.00           310.35             0.00             0.00             0.00            0.00
         687.13             0.00           310.18             0.00             0.00             0.00            0.00
         688.09             0.00           310.01             0.00             0.00             0.00            0.00
         689.07             0.00           309.83             0.00             0.00             0.00            0.00
         690.29             0.00           309.62             0.00             0.00             0.00            0.00
         691.11             0.00           309.52             0.00             0.00             0.00            0.00
         692.09             0.00           309.32             0.00             0.00             0.00            0.00
         693.46             0.00           309.11             0.00             0.00             0.00            0.00
         694.33             0.00           308.96             0.00             0.00             0.00            0.00
         695.10             0.00           308.81             0.00             0.00             0.00            0.00
         696.14             0.00           308.67             0.00             0.00             0.00            0.00
         697.13             0.00           308.48             0.00             0.00             0.00            0.00
         698.06             0.00           308.34             0.00             0.00             0.00            0.00
         699.06             0.00           308.18             0.00             0.00             0.00            0.00
         700.05             0.00           307.99             0.00             0.00             0.00            0.00
         700.95             0.00           307.84             0.00             0.00             0.00            0.00
         702.31             0.00           307.66             0.00             0.00             0.00            0.00
         703.00             0.00           307.50             0.00             0.00             0.00            0.00
         704.13             0.00           307.32             0.00             0.00             0.00            0.00
         705.32             0.00           307.13             0.00             0.00             0.00            0.00
         705.92             0.00           307.01             0.00             0.00             0.00            0.00
         707.05             0.00           306.84             0.00             0.00             0.00            0.00
         708.10             0.00           306.67             0.00             0.00             0.00            0.00
         709.07             0.00           306.50             0.00             0.00             0.00            0.00
         709.96             0.00           306.35             0.00             0.00             0.00            0.00
         711.02             0.00           306.16             0.00             0.00             0.00            0.00
         712.08             0.00           306.00             0.00             0.00             0.00            0.00
         713.08             0.00           305.83             0.00             0.00             0.00            0.00
         714.06             0.00           305.67             0.00             0.00             0.00            0.00
         714.92             0.00           305.52             0.00             0.00             0.00            0.00
         716.17             0.00           305.33             0.00             0.00             0.00            0.00
         717.09             0.00           305.16             0.00             0.00             0.00            0.00
         718.09             0.00           305.01             0.00             0.00             0.00            0.00
         718.95             0.00           304.85             0.00             0.00             0.00            0.00
         720.00             0.00           304.67             0.00             0.00             0.00            0.00
         721.11             0.00           304.49             0.00             0.00             0.00            0.00
         722.02             0.00           304.33             0.00             0.00             0.00            0.00
         722.99             0.00           304.17             0.00             0.00             0.00            0.00
         724.04             0.00           304.00             0.00             0.00             0.00            0.00
         725.03             0.00           303.87             0.00             0.00             0.00            0.00
         726.21             0.00           303.65             0.00             0.00             0.00            0.00
         727.09             0.00           303.50             0.00             0.00             0.00            0.00
         728.06             0.00           303.34             0.00             0.00             0.00            0.00
         729.20             0.00           303.17             0.00             0.00             0.00            0.00
         730.07             0.00           303.03             0.00             0.00             0.00            0.00
         730.96             0.00           302.86             0.00             0.00             0.00            0.00
         732.18             0.00           302.68             0.00             0.00             0.00            0.00
         733.04             0.00           302.53             0.00             0.00             0.00            0.00
         734.04             0.00           302.35             0.00             0.00             0.00            0.00
         734.95             0.00           302.19             0.00             0.00             0.00            0.00
         736.04             0.00           302.05             0.00             0.00             0.00            0.00
         737.07             0.00           301.87             0.00             0.00             0.00            0.00
         738.08             0.00           301.71             0.00             0.00             0.00            0.00
         739.08             0.00           301.56             0.00             0.00             0.00            0.00
         740.13             0.00           301.37             0.00             0.00             0.00            0.00
         741.04             0.00           301.25             0.00             0.00             0.00            0.00
         742.04             0.00           301.07             0.00             0.00             0.00            0.00
         742.93             0.00           300.92             0.00             0.00             0.00            0.00
         744.00             0.00           300.75             0.00             0.00             0.00            0.00
         745.21             0.00           300.56             0.00             0.00             0.00            0.00
         746.16             0.00           300.42             0.00             0.00             0.00            0.00
         747.03             0.00           300.27             0.00             0.00             0.00            0.00
         748.15             0.00           300.10             0.00             0.00             0.00            0.00
         749.08             0.00           299.96             0.00             0.00             0.00            0.00
         750.11             0.00           299.80             0.00             0.00             0.00            0.00
         751.14             0.00           299.62             0.00             0.00             0.00            0.00
         752.05             0.00           299.48             0.00             0.00             0.00            0.00
         753.05             0.00           299.28             0.00             0.00             0.00            0.00
         754.10             0.00           299.15             0.00             0.00             0.00            0.00
         755.10             0.00           298.98             0.00             0.00             0.00            0.00
         756.02             0.00           298.83             0.00             0.00             0.00            0.00
         757.03             0.00           298.69             0.00             0.00             0.00            0.00
         758.13             0.00           298.51             0.00             0.00             0.00            0.00
         759.11             0.00           298.37             0.00             0.00             0.00            0.00
         760.08             0.00           298.20             0.00             0.00             0.00            0.00
         761.21             0.00           298.02             0.00             0.00             0.00            0.00
         762.10             0.00           297.89             0.00             0.00             0.00            0.00
         763.12             0.00           297.71             0.00             0.00             0.00            0.00
         764.11             0.00           297.56             0.00             0.00             0.00            0.00
         765.08             0.00           297.42             0.00             0.00             0.00            0.00
         766.24             0.00           297.25             0.00             0.00             0.00            0.00
         767.09             0.00           297.11             0.00             0.00             0.00            0.00
         768.28             0.00           296.94             0.00             0.00             0.00            0.00
         769.01             0.00           296.79             0.00             0.00             0.00            0.00
         770.09             0.00           296.64             0.00             0.00             0.00            0.00
         771.06             0.00           296.49             0.00             0.00             0.00            0.00
         772.12             0.00           296.30             0.00             0.00             0.00            0.00
         773.11             0.00           296.16             0.00             0.00             0.00            0.00
         774.09             0.00           296.00             0.00             0.00             0.00            0.00
         775.14             0.00           295.85             0.00             0.00             0.00            0.00
         776.09             0.00           295.72             0.00             0.00             0.00            0.00
         777.05             0.00           295.57             0.00             0.00             0.00            0.00
         778.18             0.00           295.40             0.00             0.00             0.00            0.00
         779.29             0.00           295.24             0.00             0.00             0.00            0.00
         779.95             0.00           295.13             0.00             0.00             0.00            0.00
         781.20             0.00           294.94             0.00             0.00             0.00            0.00
         782.08             0.00           294.79             0.00             0.00             0.00            0.00
         783.12             0.00           294.63             0.00             0.00             0.00            0.00
         784.25             0.00           294.48             0.00             0.00             0.00            0.00
         785.25             0.00           294.33             0.00             0.00             0.00            0.00
         786.29             0.00           294.18             0.00             0.00             0.00            0.00
         787.04             0.00           294.06             0.00             0.00             0.00            0.00
         788.01             0.00           293.89             0.00             0.00             0.00            0.00
         789.11             0.00           293.71             0.00             0.00             0.00            0.00
         790.25             0.00           293.58             0.00             0.00             0.00            0.00
         791.12             0.00           293.42             0.00             0.00             0.00            0.00
         791.98             0.00           293.31             0.00             0.00             0.00            0.00
         793.08             0.00           293.14             0.00             0.00             0.00            0.00
         794.05             0.00           292.98             0.00             0.00             0.00            0.00
         795.10             0.00           292.82             0.00             0.00             0.00            0.00
         796.03             0.00           292.68             0.00             0.00             0.00            0.00
         797.11             0.00           292.50             0.00             0.00             0.00            0.00
         798.06             0.00           292.37             0.00             0.00             0.00            0.00
         799.21             0.00           292.23             0.00             0.00             0.00            0.00
         800.09             0.00           292.07             0.00             0.00             0.00            0.00
         801.09             0.00           291.95             0.00             0.00             0.00            0.00
         801.93             0.00           291.78             0.00             0.00             0.00            0.00
         803.09             0.00           291.62             0.00             0.00             0.00            0.00
         803.94             0.00           291.47             0.00             0.00             0.00            0.00
         804.95             0.00           291.32             0.00             0.00             0.00            0.00
         806.01             0.00           291.18             0.00             0.00             0.00            0.00
         806.98             0.00           291.00             0.00             0.00             0.00            0.00
         808.12             0.00           290.88             0.00             0.00             0.00            0.00
         809.08             0.00           290.73             0.00             0.00             0.00            0.00
         810.15             0.00           290.55             0.00             0.00             0.00            0.00
         811.03             0.00           290.45             0.00             0.00             0.00            0.00
         812.08             0.00           290.26             0.00             0.00             0.00            0.00
         813.03             0.00           290.14             0.00             0.00             0.00            0.00
         813.92             0.00           290.02             0.00             0.00             0.00            0.00
         815.01             0.00           289.85             0.00             0.00             0.00            0.00
         816.08             0.00           289.70             0.00             0.00             0.00            0.00
         817.13             0.00           289.54             0.00             0.00             0.00            0.00
         818.09             0.00           289.42             0.00             0.00             0.00            0.00
         819.05             0.00           289.30             0.00             0.00             0.00            0.00
         820.09             0.00           289.12             0.00             0.00             0.00            0.00
         821.06             0.00           288.97             0.00             0.00             0.00            0.00
         822.06             0.00           288.82             0.00             0.00             0.00            0.00
         823.07             0.00           288.69             0.00             0.00             0.00            0.00
         824.07             0.00           288.56             0.00             0.00             0.00            0.00
         824.96             0.00           288.42             0.00             0.00             0.00            0.00
         826.09             0.00           288.25             0.00             0.00             0.00            0.00
         827.10             0.00           288.10             0.00             0.00             0.00            0.00
         828.01             0.00           287.97             0.00             0.00             0.00            0.00
         829.20             0.00           287.82             0.00             0.00             0.00            0.00
         830.06             0.00           287.67             0.00             0.00             0.00            0.00
         831.17             0.00           287.50             0.00             0.00             0.00            0.00
         832.07             0.00           287.38             0.00             0.00             0.00            0.00
         833.24             0.00           287.21             0.00             0.00             0.00            0.00
         834.03             0.00           287.09             0.00             0.00             0.00            0.00
         835.04             0.00           286.96             0.00             0.00             0.00            0.00
         836.04             0.00           286.81             0.00             0.00             0.00            0.00
         837.06             0.00           286.64             0.00             0.00             0.00            0.00
         838.03             0.00           286.51             0.00             0.00             0.00            0.00
         839.09             0.00           286.36             0.00             0.00             0.00            0.00
         840.01             0.00           286.21             0.00             0.00             0.00            0.00
         840.97             0.00           286.11             0.00             0.00             0.00            0.00
         842.04             0.00           285.92             0.00             0.00             0.00            0.00
         843.04             0.00           285.79             0.00             0.00             0.00            0.00
         844.05             0.00           285.65             0.00             0.00             0.00            0.00
         844.99             0.00           285.51             0.00             0.00             0.00            0.00
         846.11             0.00           285.36             0.00             0.00             0.00            0.00
         847.07             0.00           285.22             0.00             0.00             0.00            0.00
         848.06             0.00           285.07             0.00             0.00             0.00            0.00
         849.09             0.00           284.95             0.00             0.00             0.00            0.00
         850.04             0.00           284.80             0.00             0.00             0.00            0.00
         851.04             0.00           284.66             0.00             0.00             0.00            0.00
         852.04             0.00           284.52             0.00             0.00             0.00            0.00
         853.11             0.00           284.37             0.00             0.00             0.00            0.00
         854.01             0.00           284.24             0.00             0.00             0.00            0.00
         855.07             0.00           284.09             0.00             0.00             0.00            0.00
         856.09             0.00           283.96             0.00             0.00             0.00            0.00
         857.08             0.00           283.81             0.00             0.00             0.00            0.00
         857.91             0.00           283.68             0.00             0.00             0.00            0.00
         859.09             0.00           283.52             0.00             0.00             0.00            0.00
         860.04             0.00           283.41             0.00             0.00             0.00            0.00
         861.05             0.00           283.25             0.00             0.00             0.00            0.00
         862.09             0.00           283.12             0.00             0.00             0.00            0.00
         863.06             0.00           282.97             0.00             0.00             0.00            0.00
         864.09             0.00           282.83             0.00             0.00             0.00            0.00
         865.07             0.00           282.70             0.00             0.00             0.00            0.00
         866.08             0.00           282.55             0.00             0.00             0.00            0.00
         867.13             0.00           282.38             0.00             0.00             0.00            0.00
         868.09             0.00           282.26             0.00             0.00             0.00            0.00
         869.07             0.00           282.13             0.00             0.00             0.00            0.00
         870.04             0.00           282.00             0.00             0.00             0.00            0.00
         871.09             0.00           281.84             0.00             0.00             0.00            0.00
         872.09             0.00           281.67             0.00             0.00             0.00            0.00
         873.12             0.00           281.55             0.00             0.00             0.00            0.00
         874.06             0.00           281.41             0.00             0.00             0.00            0.00
         874.96             0.00           281.30             0.00             0.00             0.00            0.00
         876.11             0.00           281.18             0.00             0.00             0.00            0.00
         877.10             0.00           281.00             0.00             0.00             0.00            0.00
         877.92             0.00           280.88             0.00             0.00             0.00            0.00
         879.06             0.00           280.73             0.00             0.00             0.00            0.00
         880.09             0.00           280.57             0.00             0.00             0.00            0.00
         881.09             0.00           280.45             0.00             0.00             0.00            0.00
         882.26             0.00           280.31             0.00             0.00             0.00            0.00
         883.07             0.00           280.17             0.00             0.00             0.00            0.00
         884.12             0.00           280.04             0.00             0.00             0.00            0.00
         885.24             0.00           279.88             0.00             0.00             0.00            0.00
         886.08             0.00           279.77             0.00             0.00             0.00            0.00
         887.09             0.00           279.62             0.00             0.00             0.00            0.00
         888.19             0.00           279.49             0.00             0.00             0.00            0.00
         889.05             0.00           279.36             0.00             0.00             0.00            0.00
         890.09             0.00           279.19             0.00             0.00             0.00            0.00
         891.21             0.00           279.07             0.00             0.00             0.00            0.00
         892.06             0.00           278.94             0.00             0.00             0.00            0.00
         893.04             0.00           278.80             0.00             0.00             0.00            0.00
         894.29             0.00           278.64             0.00             0.00             0.00            0.00
         894.97             0.00           278.55             0.00             0.00             0.00            0.00
         896.08             0.00           278.40             0.00             0.00             0.00            0.00
         897.21             0.00           278.27             0.00             0.00             0.00            0.00
         898.05             0.00           278.12             0.00             0.00             0.00            0.00
         899.06             0.00           277.99             0.00             0.00             0.00            0.00
         900.15             0.00           277.86             0.00             0.00             0.00            0.00
         901.01             0.00           277.72             0.00             0.00             0.00            0.00
         902.08             0.00           277.59             0.00             0.00             0.00            0.00
         902.99             0.00           277.44             0.00             0.00             0.00            0.00
         904.32             0.00           277.29             0.00             0.00             0.00            0.00
         904.98             0.00           277.16             0.00             0.00             0.00            0.00
         906.04             0.00           277.05             0.00             0.00             0.00            0.00
         907.08             0.00           276.90             0.00             0.00             0.00            0.00
         907.94             0.00           276.79             0.00             0.00             0.00            0.00
         908.94             0.00           276.65             0.00             0.00             0.00            0.00
         910.01             0.00           276.49             0.00             0.00             0.00            0.00
         910.96             0.00           276.39             0.00             0.00             0.00            0.00
         911.96             0.00           276.24             0.00             0.00             0.00            0.00
         913.08             0.00           276.10             0.00             0.00             0.00            0.00
         914.09             0.00           275.97             0.00             0.00             0.00            0.00
         915.06             0.00           275.84             0.00             0.00             0.00            0.00
         916.04             0.00           275.69             0.00             0.00             0.00            0.00
         917.06             0.00           275.57             0.00             0.00             0.00            0.00
         918.06             0.00           275.43             0.00             0.00             0.00            0.00
         919.11             0.00           275.29             0.00             0.00             0.00            0.00
         920.07             0.00           275.17             0.00             0.00             0.00            0.00
         921.03             0.00           275.02             0.00             0.00             0.00            0.00
         922.03             0.00           274.89             0.00             0.00             0.00            0.00
         923.04             0.00           274.75             0.00             0.00             0.00            0.00
         923.98             0.00           274.65             0.00             0.00             0.00            0.00
         925.21             0.00           274.46             0.00             0.00             0.00            0.00
         925.93             0.00           274.37             0.00             0.00             0.00            0.00
         927.30             0.00           274.23             0.00             0.00             0.00            0.00
         928.00             0.00           274.11             0.00             0.00             0.00            0.00
         928.95             0.00           273.99             0.00             0.00             0.00            0.00
         930.13             0.00           273.81             0.00             0.00             0.00            0.00
         931.33             0.00           273.67             0.00             0.00             0.00            0.00
         931.92             0.00           273.58             0.00             0.00             0.00            0.00
         933.29             0.00           273.41             0.00             0.00             0.00            0.00
         934.00             0.00           273.32             0.00             0.00             0.00            0.00
         935.06             0.00           273.18             0.00             0.00             0.00            0.00
         936.31             0.00           273.03             0.00             0.00             0.00            0.00
         937.04             0.00           272.93             0.00             0.00             0.00            0.00
         938.02             0.00           272.78             0.00             0.00             0.00            0.00
         939.12             0.00           272.64             0.00             0.00             0.00            0.00
         940.09             0.00           272.52             0.00             0.00             0.00            0.00
         941.04             0.00           272.39             0.00             0.00             0.00            0.00
         942.07             0.00           272.26             0.00             0.00             0.00            0.00
         943.21             0.00           272.12             0.00             0.00             0.00            0.00
         944.29             0.00           272.00             0.00             0.00             0.00            0.00
         945.12             0.00           271.84             0.00             0.00             0.00            0.00
         946.24             0.00           271.71             0.00             0.00             0.00            0.00
         947.09             0.00           271.59             0.00             0.00             0.00            0.00
         948.08             0.00           271.45             0.00             0.00             0.00            0.00
         949.08             0.00           271.32             0.00             0.00             0.00            0.00
         949.94             0.00           271.21             0.00             0.00             0.00            0.00
         951.11             0.00           271.06             0.00             0.00             0.00            0.00
         952.16             0.00           270.94             0.00             0.00             0.00            0.00
         953.11             0.00           270.80             0.00             0.00             0.00            0.00
         954.02             0.00           270.73             0.00             0.00             0.00            0.00
         955.30             0.00           270.53             0.00             0.00             0.00            0.00
         956.10             0.00           270.40             0.00             0.00             0.00            0.00
         957.08             0.00           270.22             0.00             0.00             0.00            0.00
         958.17             0.00           270.16             0.00             0.00             0.00            0.00
         959.11             0.00           270.10             0.00             0.00             0.00            0.00
