# Ic = 38.25 A, n = 28.88 , Tavg = 0.00 K, Anneal169_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  78465.61        5.04155200e-02        3.87366600e-08    0.00   21.19
    1  78465.87        4.37802000e-01        1.94607600e-08    0.00   20.95
    2  78466.11        6.89052800e-01        4.43140600e-08    0.00   20.95
    3  78466.37        9.74846100e-01        1.49359600e-08    0.00   20.95
    4  78466.62        1.27573900e+00       -3.53384000e-09    0.00   20.95
    5  78466.89        1.58942000e+00        5.94896000e-09    0.00   20.95
    6  78467.18        1.85341900e+00        3.13604600e-08    0.00   20.95
    7  78467.42        2.18097600e+00        1.57416600e-08    0.00   20.95
    8  78467.67        2.48327600e+00       -1.04134400e-08    0.00   20.95
    9  78467.91        2.80272400e+00       -2.11358400e-08    0.00   20.89
   10  78468.21        3.10898100e+00        7.56046000e-09    0.00   20.89
   11  78468.47        3.39010600e+00        9.79166000e-09    0.00   20.89
   12  78468.71        3.67173500e+00        1.61135600e-08    0.00   20.89
   13  78469.02        4.02060100e+00       -3.47184000e-09    0.00   20.79
   14  78469.27        4.33634800e+00       -1.61244000e-09    0.00   20.79
   15  78469.51        4.59773700e+00        3.46986000e-09    0.00   20.79
   16  78469.81        4.88807200e+00       -2.01442400e-08    0.00   20.79
   17  78470.06        5.22350200e+00       -4.64853400e-08    0.00   21.23
   18  78470.33        5.50915000e+00       -1.04000000e-12    0.00   21.23
   19  78470.57        5.78634400e+00        1.58656600e-08    0.00   21.23
   20  78470.96        6.14163600e+00       -2.02681400e-08    0.00   21.23
   21  78471.26        6.43768900e+00       -4.76629400e-08    0.00   20.95
   22  78471.50        6.71889800e+00       -2.52902400e-08    0.00   20.95
   23  78471.79        7.06433400e+00       -3.37837400e-08    0.00   20.95
   24  78472.10        7.34256200e+00       -3.91777400e-08    0.00   20.95
   25  78472.34        7.63707500e+00       -1.17210400e-08    0.00   20.95
   26  78472.59        7.90906500e+00       -3.65126400e-08    0.00   20.95
   27  78472.95        8.24843800e+00       -4.09751400e-08    0.00   21.22
   28  78473.27        8.56821300e+00       -3.24220400e-08    0.00   21.22
   29  78473.52        8.83032000e+00       -2.96329400e-08    0.00   21.22
