#time_s           sample_K         target_A         PID_perc         AUX1_perc        AUX2_perc       AUX3_perc      
           0.00             0.00            39.93             0.00             0.00             0.00            0.00
          17.30             0.00            37.31             0.00             0.00             0.00            0.00
          18.33             0.00            37.13             0.00             0.00             0.00            0.00
          19.39             0.00            37.07             0.00             0.00             0.00            0.00
          20.30             0.00            36.94             0.00             0.00             0.00            0.00
          21.45             0.00            36.71             0.00             0.00             0.00            0.00
          22.64             0.00            36.53             0.00             0.00             0.00            0.00
          23.79             0.00            36.40             0.00             0.00             0.00            0.00
          24.27             0.00            36.27             0.00             0.00             0.00            0.00
          25.41             0.00            36.15             0.00             0.00             0.00            0.00
          26.39             0.00            36.01             0.00             0.00             0.00            0.00
          27.16             0.00            35.89             0.00             0.00             0.00            0.00
          28.57             0.00            35.67             0.00             0.00             0.00            0.00
          29.38             0.00            35.59             0.00             0.00             0.00            0.00
          30.53             0.00            35.45             0.00             0.00             0.00            0.00
          31.34             0.00            35.31             0.00             0.00             0.00            0.00
          32.30             0.00            35.21             0.00             0.00             0.00            0.00
          33.63             0.00            35.05             0.00             0.00             0.00            0.00
          34.38             0.00            34.98             0.00             0.00             0.00            0.00
          35.60             0.00            34.79             0.00             0.00             0.00            0.00
          36.41             0.00            34.65             0.00             0.00             0.00            0.00
          37.48             0.00            34.48             0.00             0.00             0.00            0.00
          38.35             0.00            34.37             0.00             0.00             0.00            0.00
          39.39             0.00            34.25             0.00             0.00             0.00            0.00
          40.56             0.00            34.14             0.00             0.00             0.00            0.00
          41.49             0.00            33.96             0.00             0.00             0.00            0.00
          42.20             0.00            33.91             0.00             0.00             0.00            0.00
          43.26             0.00            33.73             0.00             0.00             0.00            0.00
          44.37             0.00            33.58             0.00             0.00             0.00            0.00
          45.68             0.00            33.48             0.00             0.00             0.00            0.00
          46.29             0.00            33.37             0.00             0.00             0.00            0.00
          47.34             0.00            33.23             0.00             0.00             0.00            0.00
          48.44             0.00            33.11             0.00             0.00             0.00            0.00
          49.25             0.00            33.01             0.00             0.00             0.00            0.00
          50.59             0.00            32.85             0.00             0.00             0.00            0.00
          51.19             0.00            32.76             0.00             0.00             0.00            0.00
          52.56             0.00            32.59             0.00             0.00             0.00            0.00
          53.45             0.00            32.56             0.00             0.00             0.00            0.00
          54.52             0.00            32.40             0.00             0.00             0.00            0.00
          55.46             0.00            32.24             0.00             0.00             0.00            0.00
          56.37             0.00            32.25             0.00             0.00             0.00            0.00
          57.38             0.00            32.08             0.00             0.00             0.00            0.00
          58.66             0.00            31.93             0.00             0.00             0.00            0.00
          59.38             0.00            31.90             0.00             0.00             0.00            0.00
          60.33             0.00            31.75             0.00             0.00             0.00            0.00
          61.58             0.00            31.67             0.00             0.00             0.00            0.00
          62.40             0.00            31.54             0.00             0.00             0.00            0.00
          63.47             0.00            31.42             0.00             0.00             0.00            0.00
          64.61             0.00            31.36             0.00             0.00             0.00            0.00
          65.38             0.00            31.21             0.00             0.00             0.00            0.00
          66.43             0.00            31.16             0.00             0.00             0.00            0.00
          67.33             0.00            31.00             0.00             0.00             0.00            0.00
          68.54             0.00            30.96             0.00             0.00             0.00            0.00
          69.35             0.00            30.86             0.00             0.00             0.00            0.00
          70.27             0.00            30.70             0.00             0.00             0.00            0.00
          71.36             0.00            30.67             0.00             0.00             0.00            0.00
