# Ic = 38.77 A, n = 27.18 , Tavg = 0.00 K, Anneal253_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  342345.97        6.52113900e-02        4.24307710e-08    0.00   20.85
    1  342346.22        3.80997900e-01       -3.30595590e-08    0.00   20.85
    2  342346.59        6.88893300e-01        6.37515210e-08    0.00   21.01
    3  342346.85        9.65987500e-01        4.42901410e-08    0.00   21.01
    4  342347.10        1.27062000e+00        1.98084610e-08    0.00   21.01
    5  342347.48        1.59742600e+00        7.67670510e-08    0.00   21.22
    6  342347.74        1.86884500e+00        4.44140910e-08    0.00   21.22
    7  342347.98        2.17195000e+00        1.96845010e-08    0.00   21.22
    8  342348.22        2.50364500e+00        2.49527110e-08    0.00   21.22
    9  342348.50        2.79764600e+00        5.33392710e-08    0.00   20.91
   10  342348.78        3.07692400e+00       -2.99851900e-09    0.00   20.91
   11  342349.03        3.38452000e+00        4.70193410e-08    0.00   20.91
   12  342349.37        3.71594000e+00        9.99493510e-08    0.00   20.94
   13  342349.64        4.00175900e+00        4.78250610e-08    0.00   20.94
   14  342349.88        4.28373200e+00        3.28881410e-08    0.00   20.94
   15  342350.14        4.59307500e+00        4.35485210e-08    0.00   20.94
   16  342350.51        4.90858300e+00       -2.61777890e-08    0.00   21.20
   17  342350.76        5.19027100e+00       -1.00012890e-08    0.00   21.20
   18  342351.01        5.49842000e+00        6.00968910e-08    0.00   21.20
   19  342351.30        5.83034500e+00        2.61324310e-08    0.00   21.20
   20  342351.55        6.13303800e+00        6.50552110e-08    0.00   20.78
   21  342351.84        6.41505400e+00        6.00968910e-08    0.00   20.78
   22  342352.09        6.71985300e+00       -3.12162900e-09    0.00   20.78
   23  342352.49        6.99851500e+00        1.05137410e-08    0.00   21.22
   24  342352.73        7.32248600e+00        5.18536910e-08    0.00   21.22
   25  342352.98        7.62743900e+00        2.16699510e-08    0.00   21.22
   26  342353.25        7.92660100e+00        1.76413210e-08    0.00   21.22
   27  342353.52        8.24920100e+00        4.73912110e-08    0.00   20.91
   28  342353.77        8.52139200e+00       -1.29142990e-08    0.00   20.91
   29  342354.02        8.81893300e+00        1.05137410e-08    0.00   20.91
   30  342354.37        9.14632100e+00        3.56771910e-08    0.00   20.91
   31  342354.64        9.44334500e+00       -3.67611900e-09    0.00   20.93
   32  342354.89        9.71123600e+00        2.30394910e-08    0.00   20.93
   33  342355.15        9.99479300e+00        3.58698010e-08    0.00   20.93
   34  342355.49        1.03491300e+01       -2.23284590e-08    0.00   21.20
   35  342355.74        1.06114800e+01       -1.58826490e-08    0.00   21.20
   36  342355.98        1.09149400e+01        4.24395710e-08    0.00   21.20
   37  342356.23        1.12288400e+01        1.26896610e-08    0.00   21.20
