# Ic = 38.14 A, n = 29.42 , Tavg = 0.00 K, Anneal121_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  66307.57        2.00983300e-02        1.69451700e-08    0.00   20.79
    1  66307.89        3.84704800e-01        4.45878700e-08    0.00   21.02
    2  66308.16        6.34173900e-01        3.72743700e-08    0.00   21.02
    3  66308.40        9.16162900e-01        6.28467000e-09    0.00   21.02
    4  66308.65        1.24189700e+00        1.15529700e-08    0.00   21.02
    5  66308.92        1.55514200e+00        6.96647000e-09    0.00   20.79
    6  66309.17        1.83764300e+00        4.66951700e-08    0.00   20.79
    7  66309.42        2.11675400e+00        4.30384700e-08    0.00   20.79
    8  66309.67        2.45009600e+00        8.39197000e-09    0.00   20.79
    9  66309.93        2.76770100e+00        2.22133700e-08    0.00   21.22
   10  66310.20        3.05119900e+00        2.28951700e-08    0.00   21.22
   11  66310.44        3.35693500e+00       -1.49122300e-08    0.00   21.22
   12  66310.69        3.63899200e+00       -1.44164300e-08    0.00   21.22
   13  66310.94        3.98145700e+00       -1.85070300e-08    0.00   21.08
   14  66311.20        4.26366900e+00        2.66758700e-08    0.00   21.08
   15  66311.44        4.56532300e+00        2.68987000e-09    0.00   21.08
   16  66311.69        4.85075500e+00        3.93196700e-08    0.00   21.08
   17  66311.96        5.19064900e+00        1.83086700e-08    0.00   20.78
   18  66312.20        5.47612900e+00       -1.61482300e-08    0.00   20.78
   19  66312.45        5.75252400e+00        2.27794700e-08    0.00   20.78
   20  66312.69        6.04345900e+00       -7.02903000e-09    0.00   20.78
   21  66312.96        6.41133700e+00        3.33814700e-08    0.00   21.02
   22  66313.20        6.69279500e+00       -6.59513000e-09    0.00   21.02
   23  66313.45        6.96970000e+00       -5.04145300e-08    0.00   21.02
   24  66313.69        7.28451600e+00       -2.50030300e-08    0.00   21.02
   25  66313.99        7.63082200e+00       -1.08717300e-08    0.00   20.82
   26  66314.24        7.87730600e+00       -2.97134300e-08    0.00   20.82
   27  66314.50        8.18343700e+00       -2.82879300e-08    0.00   20.82
   28  66314.76        8.52133100e+00       -8.68584300e-08    0.00   21.07
   29  66315.05        8.82098700e+00       -5.48151300e-08    0.00   21.07
   30  66315.30        9.07616200e+00       -3.98161300e-08    0.00   21.07
   31  66315.54        9.37531500e+00       -1.11464230e-07    0.00   21.07
   32  66315.91        9.71501200e+00       -9.23746300e-08    0.00   21.07
   33  66316.18        9.97591400e+00       -5.02906300e-08    0.00   21.07
   34  66316.42        1.02674600e+01       -7.01240300e-08    0.00   21.07
   35  66316.67        1.05527800e+01       -4.37828300e-08    0.00   21.07
   36  66316.91        1.09131400e+01       -4.95468300e-08    0.00   20.79
   37  66317.16        1.11680700e+01       -4.78114300e-08    0.00   20.79
   38  66317.40        1.14580100e+01       -6.46698300e-08    0.00   20.79
   39  66317.65        1.17629300e+01       -1.01175630e-07    0.00   20.79
   40  66317.92        1.20684500e+01       -7.84912300e-08    0.00   21.02
   41  66318.18        1.23258400e+01       -7.06816300e-08    0.00   21.02
   42  66318.43        1.26509200e+01       -1.12331330e-07    0.00   21.02
   43  66318.68        1.29619600e+01       -8.94608300e-08    0.00   21.02
   44  66318.92        1.32681900e+01       -1.11153630e-07    0.00   20.80
   45  66319.18        1.35559000e+01       -8.22712300e-08    0.00   20.80
   46  66319.43        1.38480200e+01       -8.39447300e-08    0.00   20.80
   47  66319.67        1.41251500e+01       -1.76665830e-07    0.00   20.80
   48  66319.91        1.44643300e+01       -1.73628830e-07    0.00   21.22
   49  66320.17        1.47906600e+01       -1.79764730e-07    0.00   21.22
   50  66320.43        1.50449500e+01       -1.43568830e-07    0.00   21.22
   51  66320.67        1.53042500e+01       -1.23053630e-07    0.00   21.22
   52  66320.96        1.56649300e+01       -1.07868730e-07    0.00   20.76
   53  66321.22        1.59470400e+01       -1.10533830e-07    0.00   20.76
   54  66321.46        1.62252100e+01       -1.43568830e-07    0.00   20.76
   55  66321.71        1.65548900e+01       -1.80632530e-07    0.00   20.76
   56  66321.97        1.68723500e+01       -1.78215330e-07    0.00   21.12
   57  66322.23        1.71563700e+01       -1.66005330e-07    0.00   21.12
   58  66322.47        1.74107300e+01       -1.56336530e-07    0.00   21.12
   59  66322.76        1.77764100e+01       -1.85095030e-07    0.00   21.12
   60  66323.06        1.80879400e+01       -2.06353930e-07    0.00   21.23
   61  66323.30        1.83381300e+01       -1.65757430e-07    0.00   21.23
