# Ic = 38.78 A, n = 27.74 , Tavg = 0.00 K, Anneal244_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  311652.51        5.71455100e-02        5.81859000e-08    0.00   21.09
    1  311652.79        3.72589900e-01        1.11363800e-07    0.00   21.09
    2  311653.05        6.53035400e-01        9.44436000e-08    0.00   21.09
    3  311653.32        9.69447900e-01        4.88890000e-08    0.00   21.09
    4  311653.59        1.30411300e+00        1.78500000e-09    0.00   20.83
    5  311653.84        1.54596800e+00        2.21761000e-08    0.00   20.83
    6  311654.08        1.85539700e+00       -7.94570000e-09    0.00   20.83
    7  311654.48        2.20539100e+00        6.15327000e-08    0.00   21.26
    8  311654.72        2.47601200e+00        2.79401000e-08    0.00   21.26
    9  311654.98        2.75687000e+00        3.51297000e-08    0.00   21.26
   10  311655.23        3.10945700e+00        9.40717000e-08    0.00   21.26
   11  311655.50        3.41288000e+00        7.61598000e-08    0.00   20.82
   12  311655.75        3.66659900e+00        7.62837000e-08    0.00   20.82
   13  311655.99        3.96991800e+00        4.82692000e-08    0.00   20.82
   14  311656.25        4.32307900e+00        6.83492000e-08    0.00   20.82
   15  311656.55        4.62686900e+00        9.15278000e-08    0.00   21.12
   16  311656.81        4.87326800e+00        4.57870000e-08    0.00   21.12
   17  311657.05        5.17864400e+00       -1.03039000e-08    0.00   21.12
   18  311657.39        5.55630100e+00       -2.28237000e-08    0.00   21.10
   19  311657.66        5.82395100e+00       -1.56490000e-09    0.00   21.10
   20  311657.90        6.08703700e+00       -2.33195000e-08    0.00   21.10
   21  311658.15        6.39918900e+00        1.06450000e-08    0.00   21.10
   22  311658.49        6.74601200e+00        4.52292000e-08    0.00   20.83
   23  311658.74        7.01341100e+00        3.84115000e-08    0.00   20.83
   24  311658.99        7.30750500e+00        6.85953000e-08    0.00   20.83
   25  311659.25        7.66621300e+00        4.50900000e-09    0.00   20.83
   26  311659.57        7.93629900e+00        3.45540000e-09    0.00   21.26
   27  311659.83        8.20886500e+00        3.27715000e-08    0.00   21.26
   28  311660.08        8.51158600e+00        3.61803000e-08    0.00   21.26
   29  311660.40        8.87774100e+00       -2.55508000e-08    0.00   20.81
   30  311660.67        9.11658700e+00       -2.26997000e-08    0.00   20.81
   31  311660.91        9.39786500e+00       -1.01180000e-08    0.00   20.81
   32  311661.16        9.70613800e+00       -1.01800000e-08    0.00   20.81
   33  311661.49        1.00358500e+01        6.77896000e-08    0.00   21.11
   34  311661.74        1.02980200e+01        7.85590000e-09    0.00   21.11
   35  311661.98        1.05982700e+01        3.12211000e-08    0.00   21.11
   36  311662.23        1.09305100e+01        8.99114000e-08    0.00   21.11
   37  311662.52        1.11869100e+01        4.93105000e-08    0.00   21.10
   38  311662.78        1.14861500e+01        5.05501000e-08    0.00   21.10
   39  311663.02        1.17893800e+01        3.71627000e-08    0.00   21.10
   40  311663.27        1.20877400e+01       -5.85070000e-09    0.00   21.10
   41  311663.62        1.24049500e+01        6.08386000e-08    0.00   20.83
   42  311663.86        1.26752700e+01        5.94751000e-08    0.00   20.83
   43  311664.11        1.29848100e+01       -1.36601000e-08    0.00   20.83
   44  311664.45        1.33088300e+01       -2.45684000e-08    0.00   21.26
   45  311664.71        1.35848700e+01        1.40080000e-09    0.00   21.26
   46  311664.95        1.38768000e+01       -5.12193000e-08    0.00   21.26
   47  311665.19        1.41543800e+01       -6.78040000e-09    0.00   21.26
   48  311665.45        1.44913700e+01        3.07420000e-09    0.00   20.82
   49  311665.71        1.47658300e+01       -1.88663000e-08    0.00   20.82
   50  311665.95        1.50691800e+01       -2.30809000e-08    0.00   20.82
   51  311666.19        1.53369000e+01       -2.20272000e-08    0.00   20.82
   52  311666.50        1.56955200e+01        1.05737000e-08    0.00   21.12
   53  311666.76        1.59678400e+01       -1.56434000e-08    0.00   21.12
   54  311667.00        1.62517400e+01       -8.84687000e-08    0.00   21.12
   55  311667.26        1.66024600e+01       -7.08667000e-08    0.00   21.12
   56  311667.53        1.69040200e+01       -7.32839000e-08    0.00   21.10
   57  311667.80        1.71622400e+01       -6.91313000e-08    0.00   21.10
   58  311668.05        1.74650900e+01       -6.65280000e-08    0.00   21.10
   59  311668.33        1.78315600e+01       -4.66325000e-08    0.00   20.83
   60  311668.64        1.80738500e+01       -2.17789000e-08    0.00   20.83
   61  311668.91        1.83842800e+01       -4.07445000e-08    0.00   20.83
   62  311669.17        1.86703200e+01       -2.66133000e-08    0.00   20.83
   63  311669.48        1.90338300e+01        3.64813000e-08    0.00   21.26
   64  311669.75        1.92682100e+01        1.46320000e-09    0.00   21.26
   65  311669.99        1.95627600e+01       -5.72309000e-08    0.00   21.26
   66  311670.24        1.98747600e+01       -7.47709000e-08    0.00   21.26
   67  311670.54        2.02199200e+01       -9.30547000e-08    0.00   20.81
   68  311670.82        2.04606400e+01       -1.22556700e-07    0.00   20.81
   69  311671.07        2.07653900e+01       -8.89641000e-08    0.00   20.81
   70  311671.35        2.11319700e+01       -3.21294000e-08    0.00   21.11
   71  311671.63        2.13866600e+01       -5.27064000e-08    0.00   21.11
   72  311671.87        2.16723800e+01       -7.62584000e-08    0.00   21.11
   73  311672.12        2.19790200e+01       -7.83657000e-08    0.00   21.11
   74  311672.36        2.23296200e+01       -1.59529000e-08    0.00   21.09
   75  311672.60        2.26107900e+01       -3.32450000e-08    0.00   21.09
   76  311672.85        2.28762500e+01       -1.54570000e-08    0.00   21.09
   77  311673.10        2.31864600e+01       -4.40913000e-08    0.00   21.09
   78  311673.34        2.35470100e+01       -9.31787000e-08    0.00   20.82
   79  311673.59        2.38006900e+01       -1.53331000e-08    0.00   20.82
   80  311673.83        2.40793300e+01       -2.04764000e-08    0.00   20.82
   81  311674.07        2.43869900e+01       -1.31591000e-08    0.00   20.82
   82  311674.45        2.47117400e+01       -8.08355000e-08    0.00   21.26
   83  311674.70        2.49761300e+01       -5.79652000e-08    0.00   21.26
   84  311674.94        2.52831300e+01       -9.08141000e-08    0.00   21.26
   85  311675.19        2.55612200e+01       -7.73646000e-08    0.00   21.26
   86  311675.49        2.58653100e+01       -1.14552000e-07    0.00   20.81
   87  311675.74        2.61719300e+01       -1.05998900e-07    0.00   20.81
   88  311675.98        2.64765600e+01       -7.62490000e-08    0.00   20.81
   89  311676.23        2.67767300e+01       -1.48640500e-07    0.00   20.81
   90  311676.55        2.70990100e+01       -1.27753600e-07    0.00   21.11
   91  311676.80        2.73784500e+01       -9.40370000e-08    0.00   21.11
   92  311677.04        2.76567100e+01       -1.02094300e-07    0.00   21.11
   93  311677.29        2.80196600e+01       -4.70569000e-08    0.00   21.09
   94  311677.55        2.83065700e+01       -6.23657000e-08    0.00   21.09
   95  311677.79        2.85854600e+01       -6.23037000e-08    0.00   21.09
   96  311678.04        2.88622000e+01       -7.97198000e-08    0.00   21.09
   97  311678.28        2.92307600e+01       -1.12506700e-07    0.00   20.82
   98  311678.53        2.95262800e+01       -1.08973900e-07    0.00   20.82
   99  311678.79        2.97671000e+01       -1.13746300e-07    0.00   20.82
  100  311679.04        3.00712500e+01       -1.11886900e-07    0.00   20.82
  101  311679.28        3.04342200e+01       -9.98010000e-08    0.00   20.82
  102  311679.53        3.07222000e+01       -1.02528100e-07    0.00   21.25
  103  311679.77        3.09822400e+01       -8.61025000e-08    0.00   21.25
  104  311680.01        3.12895200e+01       -1.68777700e-07    0.00   21.25
  105  311680.27        3.16568500e+01       -1.53215000e-07    0.00   20.81
  106  311680.52        3.19144200e+01       -9.86115000e-08    0.00   20.81
  107  311680.78        3.21918700e+01       -1.81539400e-07    0.00   20.81
  108  311681.04        3.24975100e+01       -2.11289400e-07    0.00   20.81
  109  311681.32        3.28156900e+01       -2.23189300e-07    0.00   20.81
  110  311681.61        3.31212400e+01       -1.68647800e-07    0.00   21.10
  111  311681.86        3.33985200e+01       -1.14850000e-07    0.00   21.10
  112  311682.10        3.37122100e+01       -1.60342600e-07    0.00   21.10
  113  311682.36        3.40302000e+01       -1.44661900e-07    0.00   21.09
  114  311682.63        3.43283700e+01       -1.23279200e-07    0.00   21.09
  115  311682.89        3.45988000e+01       -1.77510800e-07    0.00   21.09
  116  311683.13        3.49129300e+01       -2.25854400e-07    0.00   21.09
  117  311683.49        3.52290700e+01       -1.80671700e-07    0.00   20.81
  118  311683.76        3.55041000e+01       -1.54516600e-07    0.00   20.81
  119  311684.00        3.58345800e+01       -9.14839000e-08    0.00   20.81
  120  311684.27        3.61306500e+01       -9.52027000e-08    0.00   20.81
  121  311684.57        3.64400700e+01       -4.68590000e-08    0.00   21.25
  122  311684.86        3.67119100e+01        5.20330000e-09    0.00   21.25
  123  311685.11        3.70219500e+01       -2.00221000e-08    0.00   21.25
  124  311685.36        3.73532800e+01       -2.93190000e-08    0.00   20.81
  125  311685.63        3.76497000e+01       -1.08492000e-08    0.00   20.81
  126  311685.87        3.79300300e+01       -3.50826000e-08    0.00   20.81
  127  311686.11        3.82075400e+01        1.52446000e-08    0.00   20.81
  128  311686.38        3.85698500e+01        1.03998700e-07    0.00   21.09
  129  311686.64        3.88470500e+01        9.27805000e-08    0.00   21.09
  130  311686.88        3.91298900e+01        1.35050200e-07    0.00   21.09
  131  311687.12        3.93739000e+01        1.98826600e-07    0.00   21.09
  132  311687.51        3.97440000e+01        3.28672600e-07    0.00   21.10
  133  311687.76        4.00262400e+01        5.11262800e-07    0.00   21.10
  134  311688.00        4.02841200e+01        5.75101200e-07    0.00   21.10
  135  311688.26        4.06388900e+01        7.04637300e-07    0.00   21.10
  136  311688.52        4.09209300e+01        8.89954600e-07    0.00   20.81
  137  311688.78        4.12183200e+01        1.10266660e-06    0.00   20.81
  138  311689.03        4.14689300e+01        1.31785770e-06    0.00   20.81
  139  311689.37        4.18342500e+01        1.53019780e-06    0.00   21.25
  140  311689.67        4.21197600e+01        1.93678020e-06    0.00   21.25
  141  311689.92        4.23632400e+01        2.24326640e-06    0.00   21.25
  142  311690.16        4.26716100e+01        2.66583940e-06    0.00   21.25
  143  311690.48        4.30273900e+01        3.71495820e-06    0.00   20.82
  144  311690.73        4.33053000e+01        5.09529290e-06    0.00   20.82
  145  311690.98        4.35830500e+01        5.13489750e-06    0.00   20.82
  146  311691.22        4.39070800e+01        6.71263530e-06    0.00   20.82
  147  311691.50        4.42297700e+01        8.08962310e-06    0.00   21.09
  148  311691.76        4.44810400e+01        9.36486390e-06    0.00   21.09
  149  311692.01        4.47756700e+01        1.06384714e-05    0.00   21.09
  150  311692.30        4.51416000e+01        1.30211320e-05    0.00   21.09
  151  311692.59        4.54357200e+01        1.54016854e-05    0.00   21.11
  152  311692.84        4.56836600e+01        1.71806080e-05    0.00   21.11
  153  311693.09        4.59927600e+01        2.31455336e-05    0.00   21.11
