# Ic = 38.66 A, n = 28.06 , Tavg = 0.00 K, Anneal223_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  242444.77        7.01782600e-02        4.42777800e-08    0.00   20.83
    1  242445.02        3.73948500e-01        8.07833800e-08    0.00   20.83
    2  242445.46        6.88167700e-01        3.68402800e-08    0.00   21.09
    3  242445.71        9.66403700e-01        2.14694800e-08    0.00   21.09
    4  242445.95        1.27009400e+00        5.14673800e-08    0.00   21.09
    5  242446.19        1.54853300e+00        3.31199800e-08    0.00   21.09
    6  242446.44        1.89108700e+00        3.03906800e-08    0.00   21.12
    7  242446.68        2.17258100e+00        6.83201800e-08    0.00   21.12
    8  242446.93        2.47612100e+00        2.58645800e-08    0.00   21.12
    9  242447.18        2.76432600e+00        5.13998800e-08    0.00   21.12
   10  242447.55        3.11159200e+00        6.01389800e-08    0.00   20.81
   11  242447.79        3.38647300e+00        1.56888000e-09    0.00   20.81
   12  242448.04        3.66573400e+00        3.28061800e-08    0.00   20.81
   13  242448.37        4.03414100e+00        5.10280800e-08    0.00   20.81
   14  242448.64        4.31762200e+00       -1.16946200e-08    0.00   21.27
   15  242448.88        4.59455700e+00        9.99798000e-09    0.00   21.27
   16  242449.13        4.87650500e+00       -6.86032000e-09    0.00   21.27
   17  242449.49        5.21992800e+00        4.97768000e-09    0.00   20.83
   18  242449.74        5.53554800e+00        6.62748800e-08    0.00   20.83
   19  242449.99        5.78285600e+00        5.05941800e-08    0.00   20.83
   20  242450.24        6.15943300e+00       -9.10320000e-10    0.00   20.83
   21  242450.53        6.44319300e+00        3.95618800e-08    0.00   21.09
   22  242450.78        6.72032200e+00       -3.82332000e-09    0.00   21.09
   23  242451.03        6.99468700e+00       -1.95040200e-08    0.00   21.09
   24  242451.31        7.36404000e+00        2.25176800e-08    0.00   21.09
   25  242451.57        7.65436100e+00        3.18028000e-09    0.00   21.12
   26  242451.81        7.90400900e+00        9.87398000e-09    0.00   21.12
   27  242452.06        8.18727000e+00       -5.80502000e-09    0.00   21.12
   28  242452.33        8.57001100e+00       -2.08627200e-08    0.00   20.82
   29  242452.63        8.85787400e+00        2.89095800e-08    0.00   20.82
   30  242452.88        9.09830800e+00       -8.64972000e-09    0.00   20.82
   31  242453.12        9.40657400e+00       -4.25522200e-08    0.00   20.82
   32  242453.47        9.74355800e+00       -5.55072000e-09    0.00   21.26
   33  242453.71        9.99535500e+00       -2.43924200e-08    0.00   21.26
   34  242453.96        1.03030200e+01       -3.78418200e-08    0.00   21.26
   35  242454.20        1.06013700e+01       -5.36482000e-09    0.00   21.26
   36  242454.56        1.09493400e+01       -2.24710200e-08    0.00   20.83
   37  242454.82        1.11889100e+01       -4.00730200e-08    0.00   20.83
   38  242455.06        1.14905600e+01       -2.45163200e-08    0.00   20.83
   39  242455.37        1.18542500e+01       -6.52365200e-08    0.00   21.08
   40  242455.63        1.20990600e+01       -6.10839200e-08    0.00   21.08
   41  242455.89        1.23783100e+01       -2.20392000e-09    0.00   21.08
   42  242456.13        1.26835100e+01       -4.93699200e-08    0.00   21.08
   43  242456.46        1.30224300e+01       -2.43924200e-08    0.00   21.12
   44  242456.72        1.32737400e+01       -6.17052000e-09    0.00   21.12
   45  242456.96        1.35695700e+01       -7.03808200e-08    0.00   21.12
   46  242457.21        1.38756500e+01       -3.08382200e-08    0.00   21.12
   47  242457.54        1.41892200e+01       -2.92267200e-08    0.00   20.81
   48  242457.81        1.44705700e+01       -8.42021200e-08    0.00   20.81
   49  242458.05        1.47746800e+01       -9.88339200e-08    0.00   20.81
   50  242458.33        1.51365200e+01       -7.62164200e-08    0.00   21.26
   51  242458.64        1.53867300e+01       -4.29981200e-08    0.00   21.26
   52  242458.88        1.56666600e+01       -1.47232000e-09    0.00   21.26
   53  242459.13        1.59716100e+01       -2.21732200e-08    0.00   21.26
   54  242459.46        1.62882100e+01       -6.68600200e-08    0.00   20.82
   55  242459.71        1.65684600e+01       -1.19467200e-08    0.00   20.82
   56  242459.95        1.68719100e+01       -1.96321200e-08    0.00   20.82
   57  242460.19        1.71883600e+01       -7.10126200e-08    0.00   20.82
   58  242460.52        1.75036300e+01       -4.10148200e-08    0.00   21.09
   59  242460.78        1.77788600e+01       -4.37419200e-08    0.00   21.09
   60  242461.02        1.80876500e+01       -9.78495200e-08    0.00   21.09
   61  242461.31        1.84201900e+01       -8.10532200e-08    0.00   21.11
   62  242461.68        1.86822000e+01       -4.00232200e-08    0.00   21.11
   63  242461.93        1.89850300e+01       -7.31199200e-08    0.00   21.11
   64  242462.19        1.92684200e+01       -4.99398200e-08    0.00   21.11
   65  242462.48        1.96018100e+01       -1.00452620e-07    0.00   20.81
   66  242462.73        1.99160200e+01       -1.16691120e-07    0.00   20.81
   67  242462.97        2.01883900e+01       -8.77469200e-08    0.00   20.81
   68  242463.22        2.04691700e+01       -1.23322820e-07    0.00   20.81
   69  242463.53        2.08165300e+01       -8.75610200e-08    0.00   21.25
   70  242463.80        2.10921600e+01       -7.15698200e-08    0.00   21.25
   71  242464.04        2.13672000e+01       -1.16254120e-07    0.00   21.25
   72  242464.46        2.17147100e+01       -1.10239120e-07    0.00   20.82
   73  242464.73        2.20165600e+01       -1.25981720e-07    0.00   20.82
   74  242464.97        2.22870400e+01       -8.48897200e-08    0.00   20.82
