# Ic = 38.65 A, n = 26.53 , Tavg = 0.00 K, Anneal268_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  394659.14        7.98933600e-02        3.36730300e-08    0.00   20.91
    1  394659.38        3.88127000e-01        1.03956730e-07    0.00   20.91
    2  394659.62        6.67097600e-01        8.79042300e-08    0.00   20.91
    3  394659.93        1.00819100e+00        7.04882300e-08    0.00   21.17
    4  394660.22        1.31448700e+00        4.76801300e-08    0.00   21.17
    5  394660.47        1.56304700e+00        2.23309300e-08    0.00   21.17
    6  394660.72        1.88713200e+00        7.85455300e-08    0.00   21.17
    7  394661.01        2.20880400e+00        8.38766300e-08    0.00   21.01
    8  394661.26        2.48736000e+00        9.19733000e-09    0.00   21.01
    9  394661.50        2.77344000e+00        6.14492300e-08    0.00   21.01
   10  394661.76        3.14174100e+00       -1.06318700e-08    0.00   21.01
   11  394662.08        3.45178000e+00       -6.85117000e-09    0.00   20.86
   12  394662.35        3.67662400e+00       -5.30167000e-09    0.00   20.86
   13  394662.59        3.98703200e+00        4.49629300e-08    0.00   20.86
   14  394662.94        4.32377000e+00        7.45886300e-08    0.00   21.24
   15  394663.22        4.64178800e+00        5.46935300e-08    0.00   21.24
   16  394663.46        4.88194300e+00        8.51953000e-09    0.00   21.24
   17  394663.70        5.19543300e+00        2.71750300e-08    0.00   21.24
   18  394664.01        5.54239500e+00        8.98973300e-08    0.00   20.78
   19  394664.26        5.79421200e+00        7.44027300e-08    0.00   20.78
   20  394664.50        6.10435800e+00        5.42597300e-08    0.00   20.78
   21  394664.76        6.46366500e+00        8.47531300e-08    0.00   20.78
   22  394665.02        6.76023900e+00        6.62215300e-08    0.00   21.17
   23  394665.27        7.00655200e+00        5.72966300e-08    0.00   21.17
   24  394665.53        7.37984800e+00        5.63050300e-08    0.00   21.17
   25  394665.79        7.68919800e+00        5.57471300e-08    0.00   21.00
   26  394666.15        7.94441400e+00        8.01047300e-08    0.00   21.00
   27  394666.40        8.21914000e+00        3.85791300e-08    0.00   21.00
   28  394666.65        8.52751200e+00       -2.29655700e-08    0.00   21.00
