# Ic = 37.82 A, n = 27.46 , Tavg = 0.00 K, Anneal139_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  112402.53        8.12830100e-02        8.71923500e-08    0.00   21.25
    1  112402.88        4.33858200e-01        1.15082950e-07    0.00   21.18
    2  112403.15        6.85503000e-01        8.10563500e-08    0.00   21.18
    3  112403.39        9.81085200e-01        5.05006500e-08    0.00   21.18
    4  112403.63        1.26576600e+00        9.31423500e-08    0.00   21.18
    5  112403.89        1.60034500e+00        9.74808500e-08    0.00   20.79
    6  112404.15        1.87941500e+00        7.51683500e-08    0.00   20.79
    7  112404.39        2.17928300e+00        6.22147500e-08    0.00   20.79
    8  112404.63        2.49178700e+00        9.22126500e-08    0.00   20.79
    9  112404.93        2.81191200e+00        1.10310550e-07    0.00   21.24
   10  112405.17        3.09377200e+00        6.74829500e-08    0.00   21.24
   11  112405.42        3.39721200e+00        1.49245500e-08    0.00   21.24
   12  112405.66        3.68119300e+00        4.76495500e-08    0.00   21.24
   13  112405.93        3.97485500e+00        6.78548500e-08    0.00   20.89
   14  112406.17        4.30211700e+00        5.99188500e-08    0.00   20.89
   15  112406.41        4.60697000e+00        4.74583500e-08    0.00   20.89
   16  112406.65        4.89072200e+00        6.34476500e-08    0.00   20.89
   17  112406.96        5.23277300e+00        8.76814500e-08    0.00   20.98
   18  112407.23        5.52178900e+00        7.70210500e-08    0.00   20.98
   19  112407.47        5.79206600e+00        4.62794500e-08    0.00   20.98
   20  112407.73        6.16841400e+00        4.73330500e-08    0.00   20.98
   21  112407.98        6.44992600e+00        4.42960500e-08    0.00   21.19
   22  112408.24        6.73385400e+00        7.12570500e-08    0.00   21.19
   23  112408.49        7.01131700e+00        6.15882500e-08    0.00   21.19
   24  112408.77        7.38958000e+00        1.95044500e-08    0.00   21.19
   25  112409.08        7.67213800e+00        4.57216500e-08    0.00   20.79
   26  112409.32        7.91919000e+00        3.66726500e-08    0.00   20.79
   27  112409.57        8.22427500e+00        7.79035000e-09    0.00   20.79
   28  112409.98        8.54291200e+00        5.67538500e-08    0.00   21.24
   29  112410.23        8.84380400e+00        6.46872500e-08    0.00   21.24
   30  112410.49        9.11206700e+00        2.76856500e-08    0.00   21.24
   31  112410.76        9.42588400e+00        6.86065000e-09    0.00   21.24
   32  112411.02        9.75690800e+00       -3.79975000e-09    0.00   20.89
   33  112411.26        1.00110600e+01       -2.21455500e-08    0.00   20.89
   34  112411.51        1.03088800e+01       -1.16091500e-08    0.00   20.89
   35  112411.77        1.06700400e+01        3.48132500e-08    0.00   20.97
   36  112412.09        1.09413500e+01        1.66480500e-08    0.00   20.97
   37  112412.35        1.12031200e+01        3.28178500e-08    0.00   20.97
   38  112412.59        1.15017300e+01        4.08117500e-08    0.00   20.97
   39  112412.86        1.18470600e+01        6.12028500e-08    0.00   21.19
   40  112413.17        1.20903300e+01        4.76294500e-08    0.00   21.19
   41  112413.42        1.23917900e+01       -5.48665000e-09    0.00   21.19
   42  112413.66        1.26985500e+01       -8.83345000e-09    0.00   21.19
   43  112414.03        1.30446200e+01       -1.02590500e-08    0.00   21.03
   44  112414.29        1.32869300e+01       -4.37105000e-09    0.00   21.03
   45  112414.54        1.35883500e+01       -2.99683500e-08    0.00   21.03
   46  112414.86        1.39424900e+01       -3.24475500e-08    0.00   21.23
   47  112415.17        1.41954500e+01       -3.57324500e-08    0.00   21.23
   48  112415.42        1.44838400e+01       -2.95964500e-08    0.00   21.23
   49  112415.67        1.47643600e+01        1.08758500e-08    0.00   21.23
   50  112415.95        1.51251000e+01       -3.18897500e-08    0.00   20.90
   51  112416.21        1.54066700e+01       -1.23663500e-08    0.00   20.90
   52  112416.45        1.56790900e+01       -1.14805000e-09    0.00   20.90
   53  112416.70        1.60118200e+01       -2.24689500e-08    0.00   20.90
   54  112416.99        1.63060600e+01       -1.01350500e-08    0.00   21.25
   55  112417.26        1.65862100e+01       -4.76943500e-08    0.00   21.25
   56  112417.51        1.68919700e+01       -9.36209500e-08    0.00   21.25
   57  112417.79        1.72465600e+01       -6.96350500e-08    0.00   21.25
   58  112418.09        1.75148900e+01        9.26915000e-09    0.00   20.85
   59  112418.34        1.77951000e+01       -4.71287500e-08    0.00   20.85
   60  112418.59        1.81057200e+01       -5.50620500e-08    0.00   20.85
   61  112418.85        1.84234000e+01       -2.10355500e-08    0.00   20.79
   62  112419.09        1.87253200e+01        1.56561500e-08    0.00   20.79
   63  112419.34        1.89992300e+01        1.46285000e-09    0.00   20.79
   64  112419.58        1.92648200e+01       -3.92925000e-09    0.00   20.79
   65  112419.93        1.96372300e+01       -1.48550000e-10    0.00   20.79
   66  112420.24        1.98999100e+01       -2.59318500e-08    0.00   21.15
   67  112420.48        2.02035300e+01       -6.24995500e-08    0.00   21.15
   68  112420.75        2.05311900e+01       -4.66948500e-08    0.00   21.15
   69  112421.05        2.08240400e+01       -3.71501500e-08    0.00   20.79
   70  112421.30        2.11012900e+01       -5.66115500e-08    0.00   20.79
   71  112421.55        2.13801900e+01       -5.47521500e-08    0.00   20.79
   72  112421.95        2.17292800e+01       -3.76459500e-08    0.00   20.79
   73  112422.23        2.20132900e+01       -3.02084500e-08    0.00   20.94
   74  112422.47        2.23034500e+01       -3.45469500e-08    0.00   20.94
   75  112422.74        2.25910500e+01       -5.24589500e-08    0.00   20.94
   76  112422.99        2.29299500e+01       -1.21069850e-07    0.00   21.20
   77  112423.24        2.32111500e+01       -8.88406500e-08    0.00   21.20
   78  112423.49        2.34877700e+01       -6.84495500e-08    0.00   21.20
   79  112423.78        2.38508300e+01       -8.82815500e-08    0.00   20.78
   80  112424.09        2.41246600e+01       -6.19985500e-08    0.00   20.78
   81  112424.34        2.44148600e+01       -6.91248500e-08    0.00   20.78
   82  112424.58        2.46912000e+01       -8.49914500e-08    0.00   20.78
   83  112424.90        2.50302500e+01       -4.30935500e-08    0.00   21.16
   84  112425.16        2.52887000e+01       -4.81758500e-08    0.00   21.16
   85  112425.40        2.55800200e+01       -7.92274500e-08    0.00   21.16
   86  112425.65        2.58858800e+01       -9.52180500e-08    0.00   21.16
