# Ic = 38.71 A, n = 28.71 , Tavg = 0.00 K, Anneal211_00K___3600s
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  204303.73        1.36560300e-01       -2.56097010e-08    0.00   21.24
    1  204303.97        3.91748000e-01       -1.56310910e-08    0.00   21.24
    2  204304.23        7.02430600e-01       -4.02987110e-08    0.00   21.24
    3  204304.55        1.01560200e+00       -1.81102510e-08    0.00   21.11
    4  204304.80        1.29219200e+00       -1.80482710e-08    0.00   21.11
    5  204305.06        1.56442800e+00       -4.52570210e-08    0.00   21.11
    6  204305.41        1.92024300e+00       -1.43791100e-09    0.00   21.11
    7  204305.67        2.21742200e+00        8.35426900e-09    0.00   20.79
    8  204305.93        2.49083500e+00       -6.27335100e-09    0.00   20.79
    9  204306.18        2.77709000e+00       -1.99691100e-09    0.00   20.79
   10  204306.46        3.12865100e+00        2.65753590e-08    0.00   21.00
   11  204306.74        3.43623600e+00       -1.03020810e-08    0.00   21.00
   12  204307.00        3.69274400e+00       -4.07337210e-08    0.00   21.00
   13  204307.30        4.04583400e+00       -4.38946410e-08    0.00   21.00
   14  204307.69        4.30461400e+00       -5.85836410e-08    0.00   20.82
   15  204307.93        4.60813300e+00       -5.51748010e-08    0.00   20.82
   16  204308.18        4.89228000e+00       -2.93296010e-08    0.00   20.82
   17  204308.45        5.21720400e+00       -4.95347210e-08    0.00   20.79
   18  204308.74        5.56066700e+00       -3.86264410e-08    0.00   20.79
   19  204308.98        5.79960600e+00       -2.99493910e-08    0.00   20.79
   20  204309.24        6.16092000e+00       -6.89960910e-08    0.00   20.79
   21  204309.56        6.46095500e+00       -6.12487310e-08    0.00   21.11
   22  204309.82        6.73295600e+00       -5.02164910e-08    0.00   21.11
   23  204310.08        7.01396500e+00       -7.69913710e-08    0.00   21.11
   24  204310.46        7.36285000e+00       -4.79232710e-08    0.00   20.85
   25  204310.73        7.65958100e+00       -5.40591810e-08    0.00   20.85
   26  204310.97        7.91709300e+00       -6.52153810e-08    0.00   20.85
   27  204311.21        8.22868500e+00       -9.41595210e-08    0.00   20.85
   28  204311.56        8.52338300e+00       -9.14326310e-08    0.00   20.99
   29  204311.81        8.84352100e+00       -8.87058610e-08    0.00   20.99
   30  204312.06        9.11824500e+00       -9.47799110e-08    0.00   20.99
   31  204312.35        9.42016000e+00       -5.00311610e-08    0.00   20.99
   32  204312.69        9.76214500e+00       -4.81098210e-08    0.00   20.81
   33  204312.94        1.00106800e+01       -7.74878010e-08    0.00   20.81
   34  204313.19        1.02975300e+01       -5.72207110e-08    0.00   20.81
   35  204313.49        1.06575100e+01       -9.28585610e-08    0.00   20.78
   36  204313.79        1.09308600e+01       -1.08911091e-07    0.00   20.78
   37  204314.03        1.12054200e+01       -9.16809610e-08    0.00   20.78
   38  204314.31        1.15483800e+01       -1.30851611e-07    0.00   20.78
   39  204314.63        1.18417100e+01       -9.91804110e-08    0.00   21.23
   40  204314.87        1.20886100e+01       -6.78191010e-08    0.00   21.23
   41  204315.12        1.23876100e+01       -9.16809610e-08    0.00   21.23
   42  204315.44        1.27322300e+01       -9.34783510e-08    0.00   20.85
   43  204315.70        1.30125900e+01       -5.73446710e-08    0.00   20.85
   44  204315.94        1.32841500e+01       -1.06060061e-07    0.00   20.85
   45  204316.19        1.35905500e+01       -1.16348551e-07    0.00   20.85
   46  204316.51        1.39323700e+01       -9.00695110e-08    0.00   20.99
   47  204316.77        1.41794200e+01       -1.18517821e-07    0.00   20.99
   48  204317.01        1.44805200e+01       -1.03147061e-07    0.00   20.99
   49  204317.31        1.47993000e+01       -1.00419991e-07    0.00   20.99
   50  204317.68        1.51256200e+01       -1.37854881e-07    0.00   21.16
   51  204317.93        1.53728200e+01       -1.44548371e-07    0.00   21.16
   52  204318.19        1.56840900e+01       -1.40643701e-07    0.00   21.16
   53  204318.49        1.60235000e+01       -1.69153991e-07    0.00   20.78
   54  204318.73        1.63103400e+01       -1.84400801e-07    0.00   20.78
   55  204318.99        1.65825900e+01       -1.57873831e-07    0.00   20.78
   56  204319.26        1.69632300e+01       -1.56758211e-07    0.00   20.78
   57  204319.61        1.72358000e+01       -1.37048921e-07    0.00   21.24
   58  204320.18        1.75317000e+01       -1.08104781e-07    0.00   21.24
   59  204320.49        1.78280600e+01       -1.54464991e-07    0.00   20.85
   60  204320.75        1.81324700e+01       -1.39404121e-07    0.00   20.85
   61  204320.99        1.83877900e+01       -1.07546971e-07    0.00   20.85
   62  204321.24        1.87459300e+01       -1.76033651e-07    0.00   20.85
   63  204321.54        1.90366400e+01       -1.23599501e-07    0.00   21.25
   64  204321.81        1.92848600e+01       -1.25706791e-07    0.00   21.25
   65  204322.05        1.95870700e+01       -1.60662881e-07    0.00   21.25
   66  204322.32        1.99493100e+01       -1.47523361e-07    0.00   21.16
   67  204322.62        2.02473200e+01       -1.71509191e-07    0.00   21.16
   68  204322.87        2.04822500e+01       -1.76653441e-07    0.00   21.16
   69  204323.11        2.07949300e+01       -1.70703461e-07    0.00   21.16
   70  204323.43        2.11361100e+01       -1.84772411e-07    0.00   20.78
   71  204323.71        2.13865300e+01       -1.53348581e-07    0.00   20.78
   72  204323.96        2.16936400e+01       -1.29796501e-07    0.00   20.78
   73  204324.22        2.20052700e+01       -1.60785961e-07    0.00   20.78
   74  204324.49        2.23447800e+01       -1.05872631e-07    0.00   21.23
   75  204324.75        2.26136000e+01       -1.23908501e-07    0.00   21.23
   76  204324.99        2.28945500e+01       -1.66673961e-07    0.00   21.23
   77  204325.25        2.32614200e+01       -1.59918261e-07    0.00   21.23
   78  204325.55        2.35204600e+01       -2.43093991e-07    0.00   20.85
   79  204325.79        2.37951600e+01       -2.46316891e-07    0.00   20.85
   80  204326.04        2.41039900e+01       -2.19603971e-07    0.00   20.85
   81  204326.34        2.44338200e+01       -2.06526421e-07    0.00   20.98
   82  204326.68        2.47232300e+01       -1.61839611e-07    0.00   20.98
   83  204326.92        2.49953800e+01       -1.82230671e-07    0.00   20.98
   84  204327.18        2.52844400e+01       -2.29210711e-07    0.00   20.98
   85  204327.46        2.56392700e+01       -1.76466631e-07    0.00   21.16
   86  204327.77        2.58911100e+01       -1.73615601e-07    0.00   21.16
